customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
575901,575903,252816,@AmazonHelp I have a Fire TV Stick + Echo Dot; but I’m really wondering if the Echo Plus - which I understand has a good speaker - can be used as a TV output speaker while streaming content. Or does it only work while playing Alexa-controlled music?,"@252816 Hey, if you have a moment please get in touch here: https://t.co/hApLpMlfHN to get in touch with our Echo team.^TI","Customer: @116618 @AmazonHelp can an Echo Plus act as an auxiliary speaker when viewing streaming content on my TV (regardless if it’s Prime content or otherwise)?
AmazonHelp: @252816 Hi, are you referring to the Fire TV? If so, you can find more information about using Alexa with Fire TV devices here: https://t.co/XTir6eKeVY. ^JJ
Customer: @AmazonHelp I have a Fire TV Stick + Echo Dot; but I’m really wondering if the Echo Plus - which I understand has a good speaker - can be used as a TV output speaker while streaming content. Or does it only work while playing Alexa-controlled music?",3,Sun Dec 03 08:48:17 +0000 2017,Sun Dec 03 08:51:29 +0000 2017,product_device_issue,13,4,9,fire tv; echo; alexa; streaming; fire tv; echo; alexa; device; streaming,information,['information'],,False,2,['deictic_reference'],False,i have a fire tv stick echo dot but i m really wondering if the echo plus which i understand has a good speaker can be used as a tv output speaker while streaming content or does it only work while playing alexa controlled music
2545363,2545361,723484,"@115833 Hi, what version of fire TV does this work with, as up to now we've been told that Alexa for Fire TV only works with a voice recognition remote, not the Echo/dot?","@723484 That's a great question, Matt! This works with all versions of our Fire TV with most Alexa-enabled devices. For the list of compatible devices as well as instructions to use this feature, visit us here: https://t.co/u0i6p69qw0 ^TK","Customer: Keep your hands full of nachos, not remotes. Hands free video streaming and voice shopping with Alexa. #TNFonPrimeVideo https://t.co/PcBPTHOAii
Customer: @115833 Hi, what version of fire TV does this work with, as up to now we've been told that Alexa for Fire TV only works with a voice recognition remote, not the Echo/dot?",2,Thu Nov 16 13:45:51 +0000 2017,Thu Nov 16 14:03:54 +0000 2017,product_device_issue,13,0,13,fire tv; echo; alexa; remote; fire tv; echo; alexa; remote; streaming,unknown,[],,False,2,['deictic_reference'],False,hi what version of fire tv does this work with as up to now we've been told that alexa for fire tv only works with a voice recognition remote not the echo dot
130327,130325,145394,"@115850 Please enable these 2 skills of Echo for India. We are struggling to link smart home devices with Alexa. Hope your give serious concern to this. We did not buy Echo just as voice command speakers. ""Broadlink Remote Control' &amp; ""Auto Voice"" we need enabled.",@145394 Thank you flagging it. I have forwarded your feedback for a review internally. ^SI,"Customer: @115850 Please enable these 2 skills of Echo for India. We are struggling to link smart home devices with Alexa. Hope your give serious concern to this. We did not buy Echo just as voice command speakers. ""Broadlink Remote Control' &amp; ""Auto Voice"" we need enabled.",1,Fri Nov 24 06:13:18 +0000 2017,Fri Nov 24 06:28:00 +0000 2017,product_device_issue,12,0,12,echo; alexa; device; remote; echo; alexa; device; remote,unknown,[],,False,2,['deictic_reference'],False,please enable these 2 skills of echo for india we are struggling to link smart home devices with alexa hope your give serious concern to this we did not buy echo just as voice command speakers broadlink remote control' amp auto voice we need enabled
125317,160420,152956,@115830 Fire TV Stick with Alexa Voice Remote | Streaming Media Player. It isn't available to buy on amazon.es but i was wondering if i bought it in the uk store would it work in Spain. e.g. bbciplayer?,@152956 Great question! Certain services and features may not be available outside the UK. ^AC,"Customer: Shop the best Black Friday deals across every department at Amazon – with free delivery on millions of eligible items. Good times. See https://t.co/4BDoh5KUbd https://t.co/6UuL2oFSZH
Customer: @115830 Fire TV Stick with Alexa Voice Remote | Streaming Media Player. It isn't available to buy on amazon.es but i was wondering if i bought it in the uk store would it work in Spain. e.g. bbciplayer?",2,Fri Nov 24 18:17:49 +0000 2017,Fri Nov 24 18:24:55 +0000 2017,product_device_issue,12,3,9,fire tv; alexa; remote; streaming; fire tv; alexa; remote; streaming,unknown,[],,False,2,['deictic_reference'],False,fire tv stick with alexa voice remote streaming media player it isn't available to buy on amazon es but i was wondering if i bought it in the uk store would it work in spain e g bbciplayer
917589,917587,337845,@AmazonHelp hi I’m looking at buying the Fire TV with 4K Ultra HD and Alexa Voice Remote Will this voice remote work with my Echo Dot ?,"@337845 It's not supported on Echo Dot, but I'll pass your suggestion along! ^RL",Customer: @AmazonHelp hi I’m looking at buying the Fire TV with 4K Ultra HD and Alexa Voice Remote Will this voice remote work with my Echo Dot ?,1,Sat Oct 21 09:48:24 +0000 2017,Sat Oct 21 10:05:01 +0000 2017,product_device_issue,12,0,12,fire tv; echo; alexa; remote; fire tv; echo; alexa; remote,unknown,[],,False,2,['deictic_reference'],False,hi i m looking at buying the fire tv with 4k ultra hd and alexa voice remote will this voice remote work with my echo dot
2366355,2366353,558535,"Hey guys, having bought two @115833 devices and two @116439 devices, I now find out tonight, you two don’t play well in the UK. When will you get together and fix that? It’s not as if you don’t talk through Alexa on Fire TV Voice Remote in the UK already 😳",@558535 Sorry for the difficulties! Check out how to use multiple Alexa devices cohesively here: https://t.co/v6vDLmr9iJ,"Customer: Hey guys, having bought two @115833 devices and two @116439 devices, I now find out tonight, you two don’t play well in the UK. When will you get together and fix that? It’s not as if you don’t talk through Alexa on Fire TV Voice Remote in the UK already 😳",1,Mon Nov 13 22:37:09 +0000 2017,Mon Nov 13 22:46:00 +0000 2017,product_device_issue,12,0,12,fire tv; alexa; device; remote; fire tv; alexa; device; remote,unknown,[],,False,2,['deictic_reference'],False,hey guys having bought two devices and two devices i now find out tonight you two don t play well in the uk when will you get together and fix that it s not as if you don t talk through alexa on fire tv voice remote in the uk already
180954,180953,158506,@115850 when will Fire TV with 4K Ultra HD and Alexa Voice Remote | Streaming Media Player Be launched in India?,"@158506 We don't have any announcement for Fire TV and Alexa Voice Remote |Streaming Media Player yet. But, stay tuned. ^AP",Customer: @115850 when will Fire TV with 4K Ultra HD and Alexa Voice Remote | Streaming Media Player Be launched in India?,1,Wed Oct 04 13:00:36 +0000 2017,Wed Oct 04 13:05:00 +0000 2017,product_device_issue,12,0,12,fire tv; alexa; remote; streaming; fire tv; alexa; remote; streaming,unknown,[],,False,0,[],False,when will fire tv with 4k ultra hd and alexa voice remote streaming media player be launched in india
1445403,1445401,455408,@128308 do you have plans to bring Alexa to Fire TV as well as control Fire TV from Echo devices feature?,"@455408 We have not made an announcement as of such. However, that is technically a fantastic idea ! ^KS",Customer: @128308 do you have plans to bring Alexa to Fire TV as well as control Fire TV from Echo devices feature?,1,Thu Nov 02 15:35:30 +0000 2017,Thu Nov 02 15:59:33 +0000 2017,product_device_issue,12,3,9,fire tv; echo; alexa; device; fire tv; echo; alexa; device,unknown,[],,False,0,[],False,do you have plans to bring alexa to fire tv as well as control fire tv from echo devices feature
1561936,1561934,482486,"Mystified why Amazon Echo won't work with Amazon Fire TV Stick. Saying ""Alexa, pause"" is easier than reaching for the remote. @115850",@482486 This feature is not available yet. I'll be sure to pass on your feedback to our specialist team internally and work on it. ^AK,"Customer: Mystified why Amazon Echo won't work with Amazon Fire TV Stick. Saying ""Alexa, pause"" is easier than reaching for the remote. @115850",1,Sat Nov 04 09:41:01 +0000 2017,Sat Nov 04 09:57:28 +0000 2017,product_device_issue,12,0,12,fire tv; echo; alexa; remote; fire tv; echo; alexa; remote,unknown,[],,False,0,[],False,mystified why amazon echo won't work with amazon fire tv stick saying alexa pause is easier than reaching for the remote
2086381,2086379,616912,@115850 just tested echo device...But no option to connect with fire TV through Alexa apps for India...??? Tks,"@616912 Fire TV cannot be connected to Alexa for now. But, I shall forward your feedback to the concerned team for sure. ^HR",Customer: @115850 just tested echo device...But no option to connect with fire TV through Alexa apps for India...??? Tks,1,Wed Nov 08 09:46:52 +0000 2017,Wed Nov 08 10:01:00 +0000 2017,product_device_issue,12,0,12,fire tv; echo; alexa; device; fire tv; echo; alexa; device,unknown,[],,False,0,[],False,just tested echo device but no option to connect with fire tv through alexa apps for india tks
