customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
2928361,810137,2928363,@AmazonHelp No,"Customer: @AmazonHelp Will this take another 3 weeks?!? https://t.co/RHOcuddKRP
AmazonHelp: @810137 I understand that your order hasn't been picked according to the scheduled time. Let us help you with it. Could you please confirm if you have reached out to our support team from the link shared above? ^HR
Customer: @AmazonHelp No",@810137 Reach out to our support team and they will assist you accordingly with it. ^RW,order,other,,3,5
2823964,786822,2823965,@AmazonHelp No,"Customer: @AmazonHelp Yup. All correct when I order on website and on tracking info but not on printed label
AmazonHelp: @786822 That is unusual. Is this other address on your Amazon account?^ES
Customer: @AmazonHelp No",@786822 Thanks for confirming. Can you please contact us directly using the following link: https://t.co/oGDklGgbCZ we can look into this further for you.^SM,order,acknowledgement,,3,5
180590,158459,180589,@AmazonHelp Yes I am,"Customer: @AmazonHelp hi I’ve ordered qualifying products so I could receive the baby box but I’m not getting the option to claim the box.
AmazonHelp: @158459 Are you a Prime member? ^MC
Customer: @AmazonHelp Yes I am",@158459 We'll be able to diagnose what's going on if you give us a call. Here's a link to help: https://t.co/JzP7hlA23B ^EM,order,other,,3,5
1908919,568670,1908920,@AmazonHelp Still nothing?,"Customer: @AmazonHelp It's not even a real tracking numbwr https://t.co/3yS4tSOEv7
AmazonHelp: @568670 I'm sorry your order hasn't arrived! Our team would like to take a look. Please give more info here: https://t.co/IjiEkLQdPK ^LR
Customer: @AmazonHelp Still nothing?","@568670 Be sure to check your e-mail for a message from our specialists, Ally! Please let us know if you can't find anything. ^FD",order,information,,3,5
2205207,161019,2205206,@AmazonHelp Yes it was,"Customer: @AmazonHelp November 16th when the deluxe which I preordered releases on the 14th.
AmazonHelp: @161019 Was the game eligible for release date delivery? More info can be found here: https://t.co/pkjih2gr9F ^BA
Customer: @AmazonHelp Yes it was","@161019 We strive to deliver your order by the estimated date shown in the confirmation e-mail. If it doesn't arrive by the estimated delivery date, please let us know. ^SJ",order,acknowledgement,,3,5
34514,123480,34516,"@AmazonHelp Yes, it is","Customer: @115830 I don’t think I ordered this with my headphone jack.. 🤢🤢 https://t.co/aJbEVjQO3y
AmazonHelp: @123480 I'm so sorry for the troubling experience! Is the product still in okay condition? Please let us know. ^MJ
Customer: @AmazonHelp Yes, it is",@123480 Happy to hear it. We'd like to document your experience and look into your options here: https://t.co/qy3J24VGxb ^AF,order,investigation,explicit_human_request,3,5
57436,129026,57435,@AmazonHelp Yeah it’s this https://t.co/H8nMUU538E,"Customer: @AmazonHelp preordered a book on kindle in September. It says the release date was 21st Sept but it’s still not on my kindle. Can you help?
AmazonHelp: @129026 I'm sorry you haven't received the book yet! Would you be able to link us to the book you pre-ordered? ^DD
Customer: @AmazonHelp Yeah it’s this https://t.co/H8nMUU538E","@129026 Does the book appear in your library: https://t.co/GbJiMPWR8d? If so, select the book and click deliver to send to Kindle. ^MB",order,other,missing_delivery,3,5
2758112,771842,2758114,@AmazonHelp Ok thank u,"Customer: Hey @AmazonHelp I received an SMS saying my order has been cancelled. But the website still shows Arriving on Monday. Pls help. Because I need to order somewhere again. Order # 402-0305262-7113947
AmazonHelp: @771842 I understand your concern regarding the status of your order. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will help you. Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^AH
Customer: @AmazonHelp Ok thank u",@771842 You're welcome. Do keep us posted for any further assistance. ^AH,order,acknowledgement,,3,5
2061684,609726,2061687,@AmazonHelp Yes,"Customer: Ordered a new phone from amazon got an one plus 5 instead of one plus 5 T due to some glitch ,the amazon guys are not willing to exchange what to do same product price @115821
AmazonHelp: @609726 That was unexpected. We'd like to make this right for you. Kindly drop your details here: https://t.co/beaaDm0muc and we’ll get in touch with you soon. ^BV
Customer: @AmazonHelp Yes",@609726 Thank you for sharing the details. We will get back with an update soon. You would receive a correspondence here: https://t.co/8DAc10S7ww. ^BS,order,acknowledgement,explicit_human_request,3,5
2538943,722081,2538944,@AmazonHelp Nothing yet,"Customer: @AmazonHelp Yes although that would be pointless as I’m based in the U.K also ordered from your U.K site using the details I’m trying to use today
AmazonHelp: @722081 Hello Joshua, can I ask have you contacted us through the link provided on the previous post and if so, what was advised to you please? ^GA
Customer: @AmazonHelp Nothing yet","@722081 Hi Joshua, just by chance would you have a secondary email address? If you placed an order recently, you should have been emailed an order confirmation to that address. Can you check if you have access to your email address directly? ^CR",order,other,,3,5
2804248,266953,2804250,@AmazonHelp It says this https://t.co/09mfPJwCKP,"Customer: @115821 Hey. Ordered my shoes on the 18th. Prime said they’d be here the 20th. Now no one knows where they are. Customer Service said “maybe tomorrow...or the day after. If not request a refund? THAT’S all you got? help
AmazonHelp: @266953 I am so sorry for the delay! Can you tell us what your tracking information says here: https://t.co/Y5jpI9gRhE
Customer: @AmazonHelp It says this https://t.co/09mfPJwCKP","@266953 I'm very sorry. We strive to get your orders to you as quickly as possible, but, in rare cases, delays may occur. I hope we can provide a better experience in the future. ^WT",order,other,,3,5
1665804,507530,1665805,@AmazonHelp Still nothing yet.,"Customer: @AmazonHelp Still the same. https://t.co/bGw8uxVjgF
AmazonHelp: @507530 Hi, if the tracking hasn't been updated we would expect the order to arrive when stated. Please keep us posted. ^JJ
Customer: @AmazonHelp Still nothing yet.","@507530 Thanks for the update Matt, have you logged out and back in to see if it stays the same? ^JJ",order,acknowledgement,,3,5
2117765,624155,2117767,@AmazonHelp Ok,"Customer: Dear @115850 @AmazonHelp pls cancel the Order # 171-5020001-7757902 As ordered by mistake. Already talked to one of your executive yesterday.He assured me to cancel the same from his side but nothing has been done till now. Need your involvement.
AmazonHelp: @624155 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ 2/2 ^NK
Customer: @AmazonHelp Ok","@624155 Thanks for understanding, Niranjan. Once we receive your details, we will get back to you with an update soon. Please wait. ^NK",order,acknowledgement,,3,5
274611,181606,274613,@AmazonHelp Ok,"Customer: @AmazonHelp Order # 171-3354961-1573119
AmazonHelp: @181606 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ
Customer: @AmazonHelp Ok",@181606 Thank you for understanding. Kindly reach out to our support team using the link provided earlier. ^AP,order,acknowledgement,,3,5
2335504,355074,2335502,@AmazonHelp Yes,"Customer: @115821 is really losing my trust lately. Since all of the recent things I’ve ordered have been wrong and/or defective #veryunsatisfied.
AmazonHelp: @355074 That's not what we like to hear. Are you having this issue with a recent order? ^GG
Customer: @AmazonHelp Yes",@355074 Is the item you ordered that are wrong or defective shipped from Amazon or one of our third party sellers? ^AH,order,other,,3,5
2718043,762842,2718045,@AmazonHelp yes,"Customer: @AmazonHelp I ordered 22 quantities of VR Headset but when the shipment arrived it had only 1. and we even paid the entire amount as per attached invoice.
AmazonHelp: @762842 Were the 22 VRs and the one you received in the same order please? ^FA
Customer: @AmazonHelp yes","@762842 Hi Shivani, I'm sorry to hear this. We are unable to check orders over Twitter. Have you contacted us directly about this? If so what were you advised? ^KK",order,other,,3,5
1522594,473137,1522592,@AmazonHelp Yes 11/7,"Customer: @AmazonHelp My Xbox one x preorder is sitting with no date and no one has an idea why
AmazonHelp: @473137 Were you provided an estimated time frame in your order confirmation e-mail: https://t.co/CVr0bPnuaE? Please let us know! ^KJ
Customer: @AmazonHelp Yes 11/7",@473137 What was advised when you spoke with us? ^BG,order,other,,3,5
