customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
2418365,503038,2418367,@AmazonHelp Yes,"Customer: @115850 My phone mob not delivered on time and date
AmazonHelp: @503038 I'm sorry about the unpleasant experience. Could you kindly let us know if we have missed the estimated delivery date? ^SB
Customer: @AmazonHelp Yes",@503038 Kindly escalate this to our support team here: https://t.co/vlvfJr4nN9. We'll look into it. ^SB,delivery,investigation,explicit_human_request|missing_delivery,3,5
1694510,393025,1825996,@115821 Is this clear?,"Customer: @115821 Nobody has come today for pickup..this is really frustrating for a customer who has been loyal to amazon
Customer: @115821 This is ridiculous to know that I declined the pick up. Where as i did not received the call
Customer: @115821 Is this clear?",@393025 We've responded to your query here: https://t.co/SkxSuCOgsI ^AK,delivery,other,missing_delivery|high_frustration,3,5
781944,306675,781948,@AmazonHelp Check this https://t.co/xYqdjYiuZ2,"Customer: @115850 I have booked a phone 2 days ago. I am prime member you promised delivery yesterday but no phone delivered so far. Why promise?
AmazonHelp: @306675 Kindly contact our support team here: https://t.co/vlvfJrlYEH. We'll have it checked. ^KC
Customer: @AmazonHelp Check this https://t.co/xYqdjYiuZ2",@306675 I'm sorry for the delay. Please wait till the revised delivery date to receive your product. (1/2)^AU,delivery,other,explicit_human_request,3,5
10640,117948,10641,@AmazonHelp No package.,"Customer: @AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.
AmazonHelp: @117948 Hi Mark! Deliveries will run up until 21:00. Let us know what happens. Chuck H
Customer: @AmazonHelp No package.",@117948 I'm sorry it hasn't arrived! Please get in touch with us here: https://t.co/hApLpMlfHN for available options. ^EZ,delivery,refund_replacement,,3,5
781944,306675,781947,@AmazonHelp Check this https://t.co/xYqdjYiuZ2,"Customer: @115850 I have booked a phone 2 days ago. I am prime member you promised delivery yesterday but no phone delivered so far. Why promise?
AmazonHelp: @306675 Kindly contact our support team here: https://t.co/vlvfJrlYEH. We'll have it checked. ^KC
Customer: @AmazonHelp Check this https://t.co/xYqdjYiuZ2","@306675 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.(2/2)^AU",delivery,privacy_restriction,explicit_human_request,3,5
132345,145861,132346,@AmazonHelp No and no,"Customer: @AmazonHelp Done that - order details don’t specify who the courier is
AmazonHelp: @145861 When in touch were you advised of a time frame to wait? Has there been any update on the tracking today - https://t.co/Jr1kcqQUJY ? ^TP
Customer: @AmazonHelp No and no",@145861 I'm very sorry for the poor experience! I would like one of our Social Media specialists to look into this with you. Please provide the information that is requested here: https://t.co/9KKpqfGmRR so we can get this escalated to the proper team. ^ZW,delivery,investigation,,3,5
138096,147108,138097,@AmazonHelp No,"Customer: @AmazonHelp The estimated date was today but now it says. ‘ Delivery date pending’
AmazonHelp: @147108 Sorry to hear that, have you received any emails in relation to the order? ^JJ
Customer: @AmazonHelp No",@147108 Make sure to check your junk/spam e-mail as well for an updated confirmation e-mail about your order. Has there been an update on your tracking: https://t.co/Y5jpI9gRhE ^GP,delivery,other,,3,5
2795300,780032,2795302,@AmazonHelp Still no package,"Customer: @AmazonHelp Today
AmazonHelp: @780032 I'm sorry you've not received it yet, Hope. Carriers have until 8:00pm to attempt delivery. Please let us know if you don't receive it by then. We're here to help where we can. ^KL
Customer: @AmazonHelp Still no package",@780032 Thanks for the update. Please let us know who the carrier is for this package. You can find that information here: https://t.co/0kEKt1SM32 ^SE,delivery,acknowledgement,missing_delivery,3,5
103129,138672,103130,"@AmazonHelp respected sir, u know its a once in week sale. nd it very hard to place order, nd it sucks when it get cancelled. i was failed to order that on 30th nov.","Customer: ORDER NOT DELIVERED WORST EXPERIENCE WITH AMAZON!!!@ booked remi y1 on 22nov from wednesday sale,order not delivered nd got cancelled aftr 10 days of shippment. mr amazon i want my phone. worst service, i ever recieved. once in weekend sale. @115821 @AmazonHelp @138673 https://t.co/8fKcpFvzcx
AmazonHelp: @138672 We understand your concern regarding delivery. Orders once canceled can't be reinstated request you to place a new order. I have taken your feedback internally to work on. 1/2^VH
Customer: @AmazonHelp respected sir, u know its a once in week sale. nd it very hard to place order, nd it sucks when it get cancelled. i was failed to order that on 30th nov.","@138672 I can imagine the disappointment, Shrey. This is certainly not what we intended. I will pass it on as a feedback to our team internally. ^MK",delivery,information,explicit_human_request|missing_delivery|high_frustration,3,3
2758939,772020,2758942,@AmazonHelp The rep I’m on the phone with cancelled it. I said no I want it but I want to know when it’s coming. Now she’s attempting to order me a while new one and get that to me by tmrw. This is ridiculous. Amazon logistics was the carrier. 5th time they’ve not delivered to me,"Customer: @115821 fail! I ordered my turkey pan last week. I’m a prime member and it was due to arrive Sunday. It’s Monday night and still not here! I will be canceling my membership when it’s up. @117795 is more work then it should be. I’ll just head to the mall for what I need
AmazonHelp: @772020 Oh no! Who is the carrier? What is the most recent tracking update? We are here to help! ^BA
Customer: @AmazonHelp The rep I’m on the phone with cancelled it. I said no I want it but I want to know when it’s coming. Now she’s attempting to order me a while new one and get that to me by tmrw. This is ridiculous. Amazon logistics was the carrier. 5th time they’ve not delivered to me","@772020 Thank you for being a Prime member. I'm sorry to hear that your ordered was canceled prematurely in addition to your carrier issues. What did the tracking information say before the order was canceled, you can confirm here: https://t.co/Y5jpI9gRhE? ^SY",delivery,information,explicit_human_request|missing_delivery|high_frustration,3,3
2764391,184609,2764393,@AmazonHelp Right. This offer.r,"Customer: @115850 @120602 @58058 not received 100 rs. Cashback on first recharge.
AmazonHelp: @184609 Could you please confirm if you're referring to the offer here: https://t.co/kYSqaBLIh3? ^AP
Customer: @AmazonHelp Right. This offer.r",@184609 Cashback will be credited to your amazon pay balance with in 7 days of the date of recharge. Did we happen to miss on that? Do keep us posted. ^HS,delivery,other,missing_delivery,3,5
2767558,773896,2767560,@AmazonHelp Yes I have,"Customer: @AmazonHelp your company is a disgrace no parcel yet saying delivered at 1041 and no-one can track the driver fuming I am
AmazonHelp: @773896 Hello Louise, have you checked the surrounding area in a possible safe place? ^BD
Customer: @AmazonHelp Yes I have","@773896 Oh no! I am so sorry to hear about this, Louise! Please reach out to us at https://t.co/JzP7hlA23B so we can track your parcel and see what insight or options we can offer. Thank you! ^WB",delivery,acknowledgement,,3,5
2772305,774903,2772307,@AmazonHelp Yes,"Customer: Every time @115821 uses their amzn delivery service, my stuff never comes on time. I'm really annoyed.
AmazonHelp: @774903 So sorry for the poor experience! We'd love to help out! Just to confirm, is there a current order that you're having an issue with? ^VB
Customer: @AmazonHelp Yes",@774903 Can you tell us more about what's gone on without posting account or order info? ^DO,delivery,other,,3,5
