customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
141994,141992,148044,"@AmazonHelp I only have one last question, why is there no next day delivery on anything for me? All the one day delivery options say Tuesday.","@148044 Hi there, I'm sorry you don't seem to have the next day delivery option. Not all addresses are eligible for next day. Please take a look here for more details, https://t.co/XTqs7lEJGe -RD","Customer: Can someone explain to me why when I'm not logged into my @115830 account i get monday as suggested delivery date but when I'm logged in with prime it says Tuesday? 🤔 https://t.co/6Dp3BW9klF
AmazonHelp: @148044 We can answer this! Product detail pages provide delivery estimates determine your location using your 1-click delivery address. This gives you the most accurate delivery date. Please let us know if you have any further questions! ^TK
Customer: @AmazonHelp I only have one last question, why is there no next day delivery on anything for me? All the one day delivery options say Tuesday.",3,Fri Nov 24 12:30:36 +0000 2017,Fri Nov 24 12:40:00 +0000 2017,shipping_delivery_options,12,6,6,delivery options; delivery option; one day delivery; next day delivery; delivery options; delivery option; one day delivery; next day delivery,information,['explain'],,False,2,['deictic_reference'],False,i only have one last question why is there no next day delivery on anything for me all the one day delivery options say tuesday
2783210,2783207,562879,"If free two day shipping is available, curious why @115821 show other free shipping options that take longer? Seems odd.","@562879 Hi! Great question, Bob! We offer all shipping options available at the time of purchase. We also offer No-Rush Shipping, you can learn more about that here:https://t.co/bLid7wSoVn I hope this helps! ^DA","Customer: If free two day shipping is available, curious why @115821 show other free shipping options that take longer? Seems odd.",1,Tue Nov 21 17:26:06 +0000 2017,Tue Nov 21 17:38:41 +0000 2017,shipping_delivery_options,12,0,12,shipping options; shipping option; two day shipping; free shipping; shipping options; shipping option; two day shipping; free shipping,unknown,[],,False,2,['deictic_reference'],False,if free two day shipping is available curious why show other free shipping options that take longer seems odd
2834179,2834178,788963,"@AmazonHelp Hi, I am a Prime member and all my delivery options are showing Thursday 30th as the ""One Day Delivery"" option. Tried it with lots of items and that is the earliest it'll show. Is this a fault or has the Prime service changed?","@788963 Terribly sorry for the delay, Mike! This time of the year is exceptionally busy. This page best explains this: https://t.co/aaVI10D1Bm ^JZ","Customer: @AmazonHelp Hi, I am a Prime member and all my delivery options are showing Thursday 30th as the ""One Day Delivery"" option. Tried it with lots of items and that is the earliest it'll show. Is this a fault or has the Prime service changed?",1,Mon Nov 27 14:29:09 +0000 2017,Mon Nov 27 14:41:01 +0000 2017,shipping_delivery_options,9,0,9,delivery options; delivery option; one day delivery; delivery options; delivery option; one day delivery,unknown,[],,False,2,['deictic_reference'],False,hi i am a prime member and all my delivery options are showing thursday 30th as the one day delivery option tried it with lots of items and that is the earliest it'll show is this a fault or has the prime service changed
379900,379899,206123,"@115830 can’t fault your delivery options, using free delivery may as well be prime!! Next day delivery of my new headset!!",@206123 Thanks for the feedback. ^KM,"Customer: @115830 can’t fault your delivery options, using free delivery may as well be prime!! Next day delivery of my new headset!!",1,Mon Oct 09 07:49:31 +0000 2017,Mon Oct 09 07:56:00 +0000 2017,shipping_delivery_options,9,0,9,delivery options; delivery option; next day delivery; delivery options; delivery option; next day delivery,unknown,[],,False,0,[],False,can t fault your delivery options using free delivery may as well be prime next day delivery of my new headset
1232873,1232872,333157,So @115821..Why is prime telling me I can have one or two day shipping options.. But I won't get my item until next week? Doesn't make sense,@333157 also find more information here: https://t.co/kBKAVDHEsW Let us know if you have any further questions! ^KN 2/2,Customer: So @115821..Why is prime telling me I can have one or two day shipping options.. But I won't get my item until next week? Doesn't make sense,1,Wed Oct 25 17:24:39 +0000 2017,Wed Oct 25 17:38:16 +0000 2017,shipping_delivery_options,9,0,9,shipping options; shipping option; two day shipping; shipping options; shipping option; two day shipping,unknown,[],,False,0,[],False,so why is prime telling me i can have one or two day shipping options but i won't get my item until next week doesn't make sense
2236505,2236503,652215,"@AmazonHelp why am I not getting any weekend delivery options, even when selecting One Day delivery with a Prime subscription? Everything I try to order stocked by Amazon is showing Mon 13th Nov as earliest available delivery date","@652215 Hello, Adam. We'd like to help if we can. There can be many reasons why this is happening. You can find information here: https://t.co/DslVcQzeuw. ^AL","Customer: @AmazonHelp why am I not getting any weekend delivery options, even when selecting One Day delivery with a Prime subscription? Everything I try to order stocked by Amazon is showing Mon 13th Nov as earliest available delivery date",1,Fri Nov 10 18:08:05 +0000 2017,Fri Nov 10 18:22:32 +0000 2017,shipping_delivery_options,9,3,6,delivery options; delivery option; one day delivery; delivery options; delivery option; one day delivery,unknown,[],,False,0,[],False,why am i not getting any weekend delivery options even when selecting one day delivery with a prime subscription everything i try to order stocked by amazon is showing mon 13th nov as earliest available delivery date
2877707,2877706,798773,@115830 why are all the prime delivery options available to be recently are around 2-3 days? What’s happened to one day delivery I signed up for?,@798773 Prime one day delivery is one day from the items dispatching. During the checkout process the delivery date provide would be the most accurate time frame at present. You can find info on extended delivery time frames here: https://t.co/Upx18sgcZB ^MI,Customer: @115830 why are all the prime delivery options available to be recently are around 2-3 days? What’s happened to one day delivery I signed up for?,1,Tue Nov 28 07:07:32 +0000 2017,Tue Nov 28 07:11:00 +0000 2017,shipping_delivery_options,9,0,9,delivery options; delivery option; one day delivery; delivery options; delivery option; one day delivery,unknown,[],,False,0,[],False,why are all the prime delivery options available to be recently are around 2 3 days what s happened to one day delivery i signed up for
321650,321652,192628,"@AmazonHelp Just checked confirmation email and it says Monday but it’s under One day delivery option, and I ordered lunchtime Friday",@192628 I'm sorry it isn't arriving as expected! Keep us posted on the delivery. ^AH,"Customer: @AmazonHelp hi, paid extra for next day delivery yesterday, only to receive an email today to say it won’t be arriving until Monday
AmazonHelp: @192628 I'm sorry for the wait. Is this date different from the delivery date listed in your order confirmation? ^RA
Customer: @AmazonHelp Just checked confirmation email and it says Monday but it’s under One day delivery option, and I ordered lunchtime Friday",3,Sat Oct 07 13:31:47 +0000 2017,Sat Oct 07 13:52:29 +0000 2017,shipping_delivery_options,7,1,6,delivery option; one day delivery; delivery option; one day delivery; next day delivery,acknowledgement,['sorry'],,False,2,['deictic_reference'],False,just checked confirmation email and it says monday but it s under one day delivery option and i ordered lunchtime friday
2366323,2366325,683092,"@AmazonHelp It is prime eligible, ordered today at 2pm, only gave me Thursday as delivery option on “two day” shipping. This happens often, I am in Las Vegas so shouldn’t be weather issue.","@683092 Thanks for elaborating. Two-Day Shipping refers to transit time, in business days, once shipped. More details can be found here: https://t.co/967PTcdZDF ^BH","Customer: Anyone else notice @115821 two day prime shipping is now almost always 3 days?
AmazonHelp: @683092 I'm sorry for this wait. Are your orders missing the delivery estimate as given at Checkout: https://t.co/Y5jpI9gRhE ^DO
Customer: @AmazonHelp It is prime eligible, ordered today at 2pm, only gave me Thursday as delivery option on “two day” shipping. This happens often, I am in Las Vegas so shouldn’t be weather issue.",3,Mon Nov 13 23:25:43 +0000 2017,Mon Nov 13 23:31:31 +0000 2017,shipping_delivery_options,7,0,7,delivery option; two day shipping; delivery option; two day shipping; prime shipping,acknowledgement,['sorry'],,False,2,['deictic_reference'],False,it is prime eligible ordered today at 2pm only gave me thursday as delivery option on two day shipping this happens often i am in las vegas so shouldn t be weather issue
2226584,2226583,649955,"@AmazonHelp Arriving: Thursday, November 9 Your delivery option: One-Day Delivery ^MO",@649955 Thanks. And what does the tracking currently say? ^KK,"Customer: @AmazonHelp I was supposed to receive my package yesterday, went for the more expensive option to have prime next day delivery and now my deliver date is a range. #notcool
AmazonHelp: @649955 I am sorry to hear this, can I ask what delivery date was given on the confirmation email you received please? Thanks ^GA
Customer: @AmazonHelp Arriving: Thursday, November 9 Your delivery option: One-Day Delivery ^MO",3,Fri Nov 10 09:11:00 +0000 2017,Fri Nov 10 09:23:50 +0000 2017,shipping_delivery_options,7,1,6,delivery option; one day delivery; delivery option; one day delivery; next day delivery,acknowledgement,['sorry'],,False,0,[],False,arriving thursday november 9 your delivery option one day delivery mo
