customer_tweet_id,brand_tweet_id,customer_author_id,customer_text,brand_response,customer_created_at,brand_created_at,customer_response_tweet_id,brand_in_response_to,silver_intent
272,269,115770,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,Wed Nov 22 09:14:39 +0000 2017,Wed Nov 22 09:23:01 +0000 2017,269,272,product_device_issue
617,615,115820,Way to drop the ball on customer service @115821 so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:16:32 +0000 2017,Tue Oct 31 22:29:00 +0000 2017,615,617,customer_service_complaint
621,620,115822,@115823 I want my amazon payments account CLOSED.  dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:19:34 +0000 2017,Tue Oct 31 22:28:34 +0000 2017,620,621,payment_billing
627,629,115827,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:50:18 +0000 2017,Wed Nov 01 12:53:34 +0000 2017,629,627,information_general
640,639,115834,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",Tue Oct 31 01:03:01 +0000 2017,Tue Oct 31 01:09:35 +0000 2017,639,640,product_device_issue
643,642,115834,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Mon Oct 30 23:44:45 +0000 2017,Tue Oct 31 00:52:39 +0000 2017,642,643,product_device_issue
646,644,115835,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Tue Oct 31 21:40:30 +0000 2017,Tue Oct 31 22:25:27 +0000 2017,644,646,delivery
652,650,115838,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,Tue Oct 31 22:11:15 +0000 2017,Tue Oct 31 22:24:47 +0000 2017,650,652,information_general
654,655,115838,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Tue Oct 31 22:53:50 +0000 2017,Tue Oct 31 23:07:33 +0000 2017,655,654,return_refund_replacement
659,658,115839,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,Tue Oct 31 22:02:14 +0000 2017,Tue Oct 31 22:11:00 +0000 2017,658,659,return_refund_replacement
664,663,115842,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",Tue Oct 31 21:50:49 +0000 2017,Tue Oct 31 22:20:34 +0000 2017,663,664,return_refund_replacement
686,684,115849,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,Tue Oct 31 22:06:53 +0000 2017,Tue Oct 31 22:17:00 +0000 2017,"684,688",686,customer_service_complaint
685,687,115849,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,Wed Nov 01 05:26:45 +0000 2017,Wed Nov 01 05:32:57 +0000 2017,687,685,order_status_tracking
1699,1697,116082,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,Tue Oct 31 22:34:38 +0000 2017,Tue Oct 31 22:42:00 +0000 2017,1697,1699,return_refund_replacement
1698,1700,116082,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:47:50 +0000 2017,Tue Oct 31 22:52:33 +0000 2017,1700,1698,payment_billing
1701,1704,116082,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,@116082 It would be best if you get in touch with us by phone or chat.use this link to do so:  https://t.co/hApLpMlfHN ^CH,Tue Oct 31 22:58:06 +0000 2017,Tue Oct 31 23:06:00 +0000 2017,1704,1701,information_general
1706,1705,116083,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,Tue Oct 31 22:33:08 +0000 2017,Tue Oct 31 22:42:00 +0000 2017,1705,1706,order_change_cancel
1708,1707,116083,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,Tue Oct 31 19:08:41 +0000 2017,Tue Oct 31 19:11:00 +0000 2017,1707,1708,payment_billing
1710,1709,116084,@AmazonHelp where can I chat with a support member for a false charge,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,Tue Oct 31 22:33:35 +0000 2017,Tue Oct 31 22:41:11 +0000 2017,1709,1710,payment_billing
1722,1720,116088,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA",Tue Oct 31 22:16:51 +0000 2017,Tue Oct 31 22:36:00 +0000 2017,1720,1722,customer_service_complaint
1721,1723,116088,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",Tue Oct 31 22:37:35 +0000 2017,Tue Oct 31 22:47:28 +0000 2017,1723,1721,order_status_tracking
1736,1734,116091,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,Tue Oct 31 22:21:42 +0000 2017,Tue Oct 31 22:35:00 +0000 2017,1734,1736,order_change_cancel
2533,2532,116312,"@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",@116312 わざわざご連絡をいただき、ありがとうございます。問題が改善されたようで、何よりでございます。万が一再度お困りのことがございましたら、ご遠慮なくお知らせください🙏 YM,Tue Oct 31 15:52:42 +0000 2017,Tue Oct 31 22:59:00 +0000 2017,2532,2533,product_device_issue
2539,2538,116312,@116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...,@116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,Sun Oct 29 08:50:17 +0000 2017,Sun Oct 29 08:55:53 +0000 2017,2538,2539,product_device_issue
2549,2548,116314,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,Tue Oct 31 19:24:59 +0000 2017,Tue Oct 31 19:38:28 +0000 2017,2548,2549,delivery
2553,2552,116315,"@116316 Hi. How can I restrict results to German language books, while searching titles on amazon.de?","@116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW",Tue Oct 31 17:07:01 +0000 2017,Tue Oct 31 17:16:26 +0000 2017,2552,2553,information_general
2565,2564,116319,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,"@116319 I'm sorry it hasn't arrived! Please reach us here: https://t.co/e6dQwzp386, so we can look into available options. ^SJ",Tue Oct 31 22:36:21 +0000 2017,Tue Oct 31 22:54:27 +0000 2017,2564,2565,order_status_tracking
2581,2582,116322,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",@116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH,Tue Oct 31 22:50:46 +0000 2017,Wed Nov 01 21:42:28 +0000 2017,2582,2581,product_device_issue
3655,3654,116586,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830","@116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI",Wed Nov 22 10:02:47 +0000 2017,Wed Nov 22 10:13:29 +0000 2017,"3654,3656",3655,shipping_delivery_options
3729,3727,116611,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA,Tue Oct 31 22:34:33 +0000 2017,Tue Oct 31 23:11:29 +0000 2017,3727,3729,account_access
3733,3731,116612,"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN,Tue Oct 31 22:57:48 +0000 2017,Tue Oct 31 23:07:02 +0000 2017,3731,3733,account_access
4831,4830,116846,"@115833, hi, I've bought an Amazon echo for for a present do they also need an Amazon alexa?",@116846 Alexa is a free download you will need to set-up your new Amazon Echo! You can learn more here: https://t.co/f8fHTB1Gs5 ^BN,Tue Oct 31 22:42:55 +0000 2017,Tue Oct 31 23:21:32 +0000 2017,4830,4831,product_device_issue
4853,4852,116849,"@AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating","@116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD",Tue Oct 31 17:55:09 +0000 2017,Tue Oct 31 18:05:02 +0000 2017,4852,4853,account_access
4855,4854,116849,"@AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU",@116849 I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,Tue Oct 31 13:47:53 +0000 2017,Tue Oct 31 14:13:27 +0000 2017,4854,4855,customer_service_complaint
4859,4858,116849,@AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,@116849 Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE,Mon Oct 30 23:53:59 +0000 2017,Tue Oct 31 00:47:34 +0000 2017,4858,4859,account_access
