k,cluster,cluster_size,top_terms,representative_rank,customer_text,clean_text
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",1,@AmazonHelp This is how Comfort fabric conditioner is delivered today @115850 https://t.co/t6EalN8GqY,this is how comfort fabric conditioner is delivered today
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",2,@115821 can you get it delivered today? Please!! https://t.co/tqExhrDnRp,can you get it delivered today please
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",3,"@115830 this was ""delivered"" today. https://t.co/8uZg8VxChb",this was delivered today
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",4,@AmazonHelp The Q is - will it be delivered today?,the q is will it be delivered today
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",5,"@AmazonHelp Delivered today
Your package was delivered.",delivered today your package was delivered
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",6,@AmazonHelp Both have now been delivered.,both have now been delivered
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",7,"@115850 
Delivered?  To whom? https://t.co/RiEvtTMDAa",delivered to whom
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",8,@AmazonHelp stamped as delivered.,stamped as delivered
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",9,@AmazonHelp Still not been delivered,still not been delivered
8,0,11815,"delivered, today, package, delivery, says, delivered today, yesterday, supposed, ordered, just, said, got, day, deliver, package delivered",10,@AmazonHelp delivered &amp; not be?,delivered not be
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",1,#TookMeTheWholeYearTo get my order from @115821 https://t.co/rWNdz4LhHR,tookmethewholeyearto get my order from
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",2,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,where is my order
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",3,Why can't I order toasted ravioli @115821,why can't i order toasted ravioli
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",4,@AmazonHelp that I can't get my order adjusted at all. /3,that i can't get my order adjusted at all 3
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",5,Can you order puppies on @115821 ?,can you order puppies on
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",6,@115850 I cant geat which i order from it,i cant geat which i order from it
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",7,@AmazonHelp Is that the same as my Order # ?,is that the same as my order
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",8,@115850 where is my order ? When will i get it ? 😤 https://t.co/faUSNnZrGi,where is my order when will i get it
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",9,@AmazonHelp This is for a US order,this is for a us order
8,1,11611,"order, delivery, delivered, amazon, placed, cancel, cancelled, received, refund, cancel order, time, days, number, id, placed order",10,@AmazonHelp I only have this order detail https://t.co/zcEbwW1Brp me with this only.,i only have this order detail me with this only
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",1,@AmazonHelp already done but no help,already done but no help
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",2,@AmazonHelp They’re not much help,they re not much help
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",3,@326956 @AmazonHelp they deined to help that why i put here....,they deined to help that why i put here
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",4,@amazonHelp is no help,is no help
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",5,@115830 can you please help,can you please help
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",6,@AmazonHelp How would you help me???,how would you help me
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",7,@AmazonHelp can you help with this please https://t.co/CIITix2to7,can you help with this please
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",8,"@AmazonHelp @AmazonHelp So, can you help me?",so can you help me
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",9,@115830 can you help me please?,can you help me please
8,2,5554,"help, need, need help, order, amazon, account, thanks, hi, pls help, pls, email, thanks help, just, ve, received",10,@AmazonHelp so you can't help me out?,so you can't help me out
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",1,@AmazonHelp This was the other one https://t.co/92hjNcwNMl,this was the other one
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",2,@AmazonHelp How do I do that?,how do i do that
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",3,@115850 how much doesitcost.?,how much doesitcost
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",4,@AmazonHelp It is under https://t.co/AnhK6dY89n,it is under
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",5,@115851 n @115850 always do this! #AmazonCheats #GreatCheatSale https://t.co/ZjF5FLRbza,n always do this amazoncheats greatcheatsale
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",6,@AmazonHelp All i get is this.... https://t.co/AAFVuNKYG1,all i get is this
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",7,"@AmazonHelp Não, Revenclaw 💙",n o revenclaw
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",8,I’m so done with @115821 🙄,i m so done with
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",9,@AmazonHelp Call me then,call me then
8,3,66185,"just, delivery, email, thanks, time, ve, don, yes, got, account, product, refund, received, guys, want",10,@AmazonHelp hopping for same,hopping for same
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",1,"一眼ポチりました！！！！！！！！！！！！！！！！！！！！！！！！
2時間後には届きます！！！！！！！！！！！！！！！！！！
ありがとうアマゾン prime now！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ https://t.co/M8ZmiXelWx",2 prime now
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",2,体つらすぎたからprime now初めて使ってみたけどこれおもしろいなぁw,prime now w
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",3,"今年1番働いた1週間だった。今日はまさに秒刻みでジャックバウワーさながらだった。
prime nowでご褒美買った。配達員さんすぐ届けてくれて本当にありがとう。",1 1 prime now
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",4,@115821 How is this Prime? https://t.co/zPzOXmJiq2,how is this prime
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",5,密林primeのタイムセールに乗じて、7Dmk2用のバッテリーを2コ購入,prime 7dmk2 2
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",6,@119625 @12154 Can't find it on Prime any more :/ why?,can't find it on prime any more why
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",7,ポケ森とポケモンを同時にやりながら、prime nowの配達を待つ完全なる引きこもり生活\( ˆoˆ )/,prime now o
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",8,@115821 Your Amazon Prime 2-day shipping is a myth.,your amazon prime 2 day shipping is a myth
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",9,So much for @115830 Prime next day delivery... 🙁 https://t.co/tNQbRZTqSE,so much for prime next day delivery
8,4,10804,"prime, day, delivery, amazon prime, shipping, day delivery, amazon, day shipping, days, membership, prime membership, pay, ordered, member, prime member",10,AmazonはPrime nowのアプリのスクショもうちょっといいの選べなかったの？ https://t.co/OANDaJjgYD,amazon prime now
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",1,@115821 your customer service is wack,your customer service is wack
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",2,@AmazonHelp @115851 You  call this customer service?? https://t.co/n3e6vf9IPJ,you call this customer service
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",3,@115850 tremendous improvements in customer service..,tremendous improvements in customer service
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",4,@AmazonHelp Shittiest customer service ever.,shittiest customer service ever
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",5,@115821 your customer service is 💯🤙🏻,your customer service is
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",6,.@115821 customer service been slippin 🧐 https://t.co/xJyfvhtgmm,customer service been slippin
