customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
24532,121290,24534,@AmazonHelp Yes,"Customer: @AmazonHelp I am unable to Use Prime Video even though I am Prime Member it tells me to sign up for prime Membership
AmazonHelp: @121290 Apologies for the trouble. Could you please let us know if you have logged in on prime enabled account? ^SB
Customer: @AmazonHelp Yes",@121290 May I please know what error do you see while trying to access the videos? ^SH,product,other,,3,5
2261730,658492,2261732,@AmazonHelp Yes,"Customer: @AmazonHelp The robot call from +35312478199 to communicate a second-factor auth code is not working: the bot doesn't say anything, the call is literally empty... Please fix.
AmazonHelp: @658492 I'm sorry for the trouble you're having with this. Just to clarify, is this happening with the Two-Step Verification request? ^EB
Customer: @AmazonHelp Yes",@658492 I'm sorry for the troubles. Have you tried using your back up methods? Learn more here:https://t.co/tPVo16zcfa. Let us know! ^SK,product,self_service,,3,5
3751,116617,3752,@AmazonHelp Sadly yes,"Customer: @AmazonHelp Many times, but still failing, and it happen with some show
AmazonHelp: @116617 Is this still ongoing? What devices are you using? ^AN
Customer: @AmazonHelp Sadly yes",@116617 What devices are you using for Amazon Video? ^AN,product,other,,3,5
683790,283194,683791,"@AmazonHelp Ok doke, thanks","Customer: @AmazonHelp Hi, he's i reboot and she works fine for an few hours. I'll Dona reset tonight, see if that works. Have read the help pages. Not much there on this specific problem. I have three dots, they have been working fine for yonks
AmazonHelp: @283194 Got it! If the reset doesn't fix this issue, the next step would be to contact us via phone/chat here: https://t.co/JzP7hlA23B for real-time troubleshooting. ^TK
Customer: @AmazonHelp Ok doke, thanks",@283194 Glad to help! Please reach out to us if you need assistance again. ^HS,product,acknowledgement,explicit_human_request,3,5
622427,208981,633672,@AmazonHelp Ok sure,"Customer: I purchased kindle paperwhite in the Aug sale, I saw this offer now on amazon about the protection plan, it seems to come in bundle with the device, can i purchase this plan now ? @115850 @AmazonHelp @137341 https://t.co/247hDlU3mN
AmazonHelp: @208981 I understand your concern regarding the recently bought Kindle, please contact us here: https://t.co/1827zgjucg so that we can assist you accordingly. ^SU
Customer: @AmazonHelp Ok sure",@208981 Good. We remain at your disposal in case of need. ^SB,product,other,,3,5
637062,271073,637063,@AmazonHelp yes,"Customer: @AmazonHelp Amazon Video option fromthe tv itself
AmazonHelp: @271073 Thank you for confirming! Have you made sure your TV is connected to the internet? ^HC
Customer: @AmazonHelp yes",@271073 Have you tried the troubleshooting steps listed here: https://t.co/HXO0R0pMH6? ^KP,product,self_service,,3,5
563934,135166,563933,@AmazonHelp Yes,"Customer: Does anybody else have this problem with the @115821 Alexa app? @AmazonHelp https://t.co/apAoH7NUGP
AmazonHelp: @135166 Thanks for reaching out. Let's uninstall and reinstall the app. Does the issue continue? ^GG
Customer: @AmazonHelp Yes",@135166 Thanks for the update. Please contact us by phone or chat for live troubleshooting assistance: https://t.co/EKXRLsnxJu ^GG,product,self_service,,3,5
1452396,457063,1452398,@AmazonHelp Yes. No joy.,"Customer: Hey @115821 or @AmazonHelp - What's up with the website? It won't open properly in either Firefox or Chrome - lots of text w/funky layout
AmazonHelp: @457063 I don't see any issues on our end, but let's troubleshoot this! Have you tried to clear cache/cookies? Let us know! ^KN
Customer: @AmazonHelp Yes. No joy.",@457063 Please reach out to us so we can investigate this further: https://t.co/hApLpMlfHN ^BG,product,investigation,,3,5
2301639,160199,2301641,@AmazonHelp Ok thanks 👍🏻,"Customer: @AmazonHelp a bunch of hue lights appeared when I did a device discovery. I don't own any hue lights. How do I get rid of them? Thx https://t.co/vu40JRM6tR
AmazonHelp: @160199 Please give us a call here: https://t.co/JzP7hlA23B so we can take a look at this with you! ^TR
Customer: @AmazonHelp Ok thanks 👍🏻",@160199 Our pleasure! We're always here to help! ^KN,product,other,,3,5
2298800,667273,2298801,@AmazonHelp Still doesn’t work,"Customer: @AmazonHelp I’m deployed and have internet and cell service
AmazonHelp: @667273 Have you attempted to restart your device by pressing ad holding the power button for 40 seconds? ^AB
Customer: @AmazonHelp Still doesn’t work","@667273 Sorry to hear about the issues downloading books whilst your deployed. It may be something to do with your current location, can you contact us here: https://t.co/hApLpMlfHN so we can take a look? ^MI",product,other,,3,5
1540962,312123,1540964,@AmazonHelp yes that's correct,"Customer: @AmazonHelp my redeem code sent for Call of Duty: WW2 isn't working??
AmazonHelp: @312123 I'm sorry for the inconvenience! What happends when you attempt to use it? Are you getting an error message? ^MO
Customer: @AmazonHelp yes that's correct",@312123 What error message are you seeing? Redemption codes are often case-sensitive. ^MB,product,other,,3,5
2265546,659464,2265545,@AmazonHelp Ok grazie,"Customer: @120540 perchè su #PrimeVideo se scarico per vedere off line la serie è solo in inglese e oltretutto in alcune i sottotitoli italiani non esistono?
AmazonHelp: @659464 Prima di fare il download dell'episodio puoi impostare la lingua come indicato qui: https://t.co/QOSV9nnjJL. L'italiano non è disponibile per tutti i titoli. Stiamo lavorando per ampliare il più possibile le opzioni del servizio. ^GD
Customer: @AmazonHelp Ok grazie","@659464 A te, rimaniamo a disposizione. ^BC",product,other,,3,5
38827,124471,38829,@AmazonHelp Yes shipped yesterday,"Customer: Dear @115850 my prime expired today but echo which extends it by a year hasn’t arrived. Help?
AmazonHelp: @124471 Could you please confirm if your echo device order is shipped yet? ^MP
Customer: @AmazonHelp Yes shipped yesterday",@124471 Thanks for confirming. We'd like to look into it. Write to us here: https://t.co/beaaDm0muc and we'll contact you soon. ^MO,product,acknowledgement,,3,5
288016,184641,288014,@AmazonHelp yes,"Customer: @AmazonHelp router is in bedroom echo is in living room 30ft away,and this is what my router says , Current Wireless Channel 6 (2.4 GHz), 36 (5 GHz)
AmazonHelp: @184641 Do you have the choice between the 2.4 and 5 GHz band when you go through set up? ^NV
Customer: @AmazonHelp yes",@184641 Which setting is on currently? ^MC,product,other,,3,5
2441745,700239,2441744,@AmazonHelp Ok gracias,"Customer: @116928 si soy cliente premiun tengo gratis prime Video
AmazonHelp: @700239 ¡Hola, Richard! Si eres cliente Prime, tu suscripción te da acceso a Prime Video, y a diversas series y películas. Si deseas más información acerca de los beneficios de Amazon Prime, puedes acceder al siguiente enlace: https://t.co/BVI3Tb3DTv ^ES
Customer: @AmazonHelp Ok gracias",@700239 Con gusto richard. Saludos. ^JJ,product,other,,3,5
324438,193284,324440,@AmazonHelp Still no luck. https://t.co/aGHOTTtI4I,"Customer: @118919 orders not going through since last night, on app as well as on desktop. Internal error message being displayed
AmazonHelp: @193284 That seems to be strange. Kindly clear the cache memory of your device and try again. Do keep us posted. ^CB
Customer: @AmazonHelp Still no luck. https://t.co/aGHOTTtI4I",@193284 Could you please try uninstalling and reinstalling the app? This usually works in fixing errors. ^ZH,product,other,,3,5
1311338,426425,1311337,@AmazonHelp Oh. Ok thanks.,"Customer: @AmazonHelp Are you sure tho? It apparently already works for some. https://t.co/5IsXVDig4K
AmazonHelp: @426425 Amazon music can be activated only after 72 hours of using your Echo. ^RI
Customer: @AmazonHelp Oh. Ok thanks.",@426425 You are welcome. Do keep us posted if you have any further concerns. ^AS,product,acknowledgement,,3,5
2840144,442785,2840142,@AmazonHelp Yes paper white.,"Customer: @AmazonHelp I am having issues setting up my paperback (trim size and picture quality issues majorly). I need help.
AmazonHelp: @442785 Hi there! We'd like to help! Are you referencing the Kindle Paperwhite? If not, can you please share a link to the item with us? Please let us know. ^SM
Customer: @AmazonHelp Yes paper white.","@442785 What sort of picture quality issues are you seeing, could you explain a bit more please? Are you noticing these issues with a single book, or multiple different titles? Please, let us know. ^JE",product,other,,3,5
2824668,761895,2824667,@AmazonHelp This one. https://t.co/05yaBOjIhh,"Customer: @AmazonHelp I'm trying to order the LEGO Creator 10232 Palace Cinema. But every time I click it to add to my cart, it says it's no longer available from seller. But when I go back to the product page itself, it says it's still available.
AmazonHelp: @761895 Hey Kyle. Are you referring to this product - https://t.co/TkXWQhLw8O ? If so, this is available via two sellers. If the problem still persists, try using another device or browser. Keep us posted. ^TP
Customer: @AmazonHelp This one. https://t.co/05yaBOjIhh","@761895 Hi, I have checked and was able to place the item into my basket. Can you try using a different browser? ^CR",product,other,,3,5
361337,201568,361338,@AmazonHelp Yes,"Customer: @AmazonHelp Says cannot connect at this time. Latest iOS
AmazonHelp: @201568 Have you tried any troubleshooting steps like restarting the app or your device? ^KH
Customer: @AmazonHelp Yes","@201568 We'd like to look into this with you! Please contact us here, and we'll collect some info about this: https://t.co/JzP7hlA23B ^WT",product,investigation,,3,5
366934,202911,366936,@AmazonHelp Yes it’s enabled,"Customer: @115833 so I connected my new arlo skill! However echo says not supported on command when asked to view! Help please #SundayFunday
AmazonHelp: @202911 Have you made sure the Alexa Skill is enabled? Follow this short list and see if it helps: https://t.co/TBPRWmmun7 ^MJ
Customer: @AmazonHelp Yes it’s enabled",@202911 Hmm. Let's check this out in real time with you: https://t.co/hApLpMlfHN ^JZ,product,other,,3,5
2728912,765129,2728913,@AmazonHelp Ok thanks &lt;3,"Customer: @AmazonHelp Ok thanks, they look great, are iPhones compatible devices??
AmazonHelp: @765129 Of course! You can use your iPhone to set up the device using the Alexa App. ^MH
Customer: @AmazonHelp Ok thanks &lt;3",@765129 You're welcome. Reach out again if you have questions in the future. ^JF,product,acknowledgement,explicit_human_request,3,5
1193963,400545,1193964,@AmazonHelp Ok thank you,"Customer: @AmazonHelp Yes it does. I ordered 2. I clicked deregister on 1 hoping that’s what it was but still not working. It just keeps giving me an error on the kindle.
AmazonHelp: @400545 I'm sorry you are still having trouble! Please reach out to us here: https://t.co/hApLpM3Ejd ^JP
Customer: @AmazonHelp Ok thank you",@400545 You're welcome! Let us know if there is anything else we can help you with! ^HM,product,acknowledgement,failed_support,3,5
427008,216562,427007,@AmazonHelp No,"Customer: @AmazonHelp I canceled prime 3 months ago &amp; you guys charge me every month still, I call you guys refund me and say sorry then do it again.
AmazonHelp: @216562 I'm sorry for the unexpected charges! Do you use any of our Prime Services, such as Prime Video or Free Two-Day shipping? ^WJ
Customer: @AmazonHelp No",@216562 Hi Tyson. Please reach out - https://t.co/hApLpMlfHN we'll be happy to look into your concern further. ^TP,product,investigation,,3,5
1191691,400013,1191690,@AmazonHelp Yes,"Customer: @117634 updated the app to 6.0 #supposedly yet app still says 5.12.2 🤔 https://t.co/T3AbkhPvdc
AmazonHelp: @400013 Sorry to see this. Have you tried restarting the device itself? ^PK
Customer: @AmazonHelp Yes","@400013 Hey, get in touch - https://t.co/JzP7hlA23B a kindle specialist will look into your concern further. Please keep us posted. ^TP",product,investigation,,3,5
1185016,398642,1185018,@AmazonHelp Yes I have,"Customer: @116618 I don't have Vpn , Yes I have checked and restarted my device https://t.co/E9BFKgmo6x
AmazonHelp: @398642 I'm sorry for the trouble with the app. Have you uninstalled and reinstalled the app? ^RR
Customer: @AmazonHelp Yes I have",@398642 We can take a look and troubleshoot this for you Jude. Just click the link and follow the prompts: https://t.co/JzP7hlA23B ^EM,product,self_service,,3,5
2766371,773645,2766370,@AmazonHelp Yes,"Customer: @AmazonHelp my firestick was working just fine yesterday and now it's just a black screen not doing anything
AmazonHelp: @773645 Oh no, sorry to hear. Have your tried a restart by disconnecting your Fire TV Stick from the HDMI port on your TV and the power cable for a full 30 seconds? ^ES
Customer: @AmazonHelp Yes","@773645 Hi Chais, if you're still having problems with your fire stick you can get in touch with us via the following link for more troubleshooting methods: https://t.co/hApLpMlfHN ^ HS",product,self_service,,3,5
2571868,729307,2571871,@AmazonHelp This weeks https://t.co/YbsuTmFvLk,"Customer: @amazonhelp here’s an invite to the deaf and annoyed party
AmazonHelp: @729307 Oh no! We support do subtitles on Xbox 360: https://t.co/UbKye2DII0. To enable them, press then green ""A"" button while the video is playing. From the on-screen menu, scroll to ""CC"", then press the red ""B"" button to go back. Let us know how this helps! ^MB
Customer: @AmazonHelp This weeks https://t.co/YbsuTmFvLk",@729307 We'd like to look into this for you. Please reach out to us via phone or chat here: https://t.co/Wv4mgUZc17 for real-time troubleshooting. ^BE,product,self_service,,3,5
1048144,367727,1048145,@AmazonHelp Yes,"Customer: @AmazonHelp I just tried using the chrome it worked .. Only the Samsung browser is not working
AmazonHelp: @367727 Which site are you accessing? https://t.co/nUUp5MLhYl or? Are you using the same device? ^NV
Customer: @AmazonHelp Yes",@367727 Please reach out to us directly here: https://t.co/hApLpMlfHN and we'll look into it further. ^PK,product,investigation,,3,5
2589174,733465,2589176,@AmazonHelp ok @115850,"Customer: @115850 Dont sell Faulty products and cheat customers right from day 1 its not working Amazon order: 406-4044061-2513121 this is the order
AmazonHelp: @733465 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2
Customer: @AmazonHelp ok @115850","@733465 We'd really like to help you, Anil. Kindly share your details in the link provided earlier so that we can assist you. ^SM",product,other,,3,5
547976,247497,547978,@AmazonHelp No difference https://t.co/xcQxVqHeT9,"Customer: Hi @115830 can you please fix your app... faceID doesn’t work https://t.co/hLeSCqBkN6
AmazonHelp: @247497 Thank you for contacting us. I am sorry you are having trouble. We are here to help! Please confirm that your device is connected to a wireless network and restart your device. Let us know if this helps! ^SC
Customer: @AmazonHelp No difference https://t.co/xcQxVqHeT9",@247497 Please try uninstalling and reinstalling the app to see if that clears out any cached data that may be behind this behavior. ^DO,product,other,,3,5
1494809,467078,1494811,@AmazonHelp Opera gives the same result https://t.co/0oLGnex8mv,"Customer: @AmazonHelp This error shows clicking the Help Pages link it just shows another error. (https://t.co/4tzqci0Jtl) https://t.co/dF6xI78sFo
AmazonHelp: @467078 Thanks for the picture. Can you try using a different browser ? Please keep us updated. ^CR
Customer: @AmazonHelp Opera gives the same result https://t.co/0oLGnex8mv","@467078 Sorry, we've had no other reports of issues and can stream it here. Have you logged out and back in to test the episode? ^JJ",product,other,,3,4
2906562,419933,2906560,@AmazonHelp Still not working. Any ideas?,"Customer: @AmazonHelp how come Hulu won’t install on my firestick? Just got it and says it’s unabailable? Same w other apps??? Help!!
AmazonHelp: @419933 I'm sorry to hear about this! Have you tried resetting the Fire TV Stick? Also, have you updated your 1-Click payment method here: https://t.co/76qmvO2ncv? ^JS
Customer: @AmazonHelp Still not working. Any ideas?",@419933 Do you have a strong Wi-fi connection? You can view troubleshooting steps here: https://t.co/OEYFNYhDsO. Are you receiving any additional error messages? ^KP,product,self_service,failed_support,3,4
101678,138275,101679,"@AmazonHelp Thank you for your help. Have done exactly what you said and am no further on. Been told to order the items, then email cust services and they might issue refund. Offer ends 30th and i will get a reply in 24 hours. Very poor telephone cust service and I'm not placing an order","Customer: @AmazonHelp Hi tried what you said and it's still not working.
AmazonHelp: @138275 Sorry for any inconvenience caused! With Twitter, we're unable to access your account information. Please, allow us to troubleshoot in real time via phone or chat here: https://t.co/JzP7hlA23B ^JE
Customer: @AmazonHelp Thank you for your help. Have done exactly what you said and am no further on. Been told to order the items, then email cust services and they might issue refund. Offer ends 30th and i will get a reply in 24 hours. Very poor telephone cust service and I'm not placing an order","@138275 I'm so sorry about this frustrating experience! You were actually told you ""might"" get a refund after you placed the order? I wouldn't place the order either! Please provide your details &amp; we'll reach out to work on a resolution together: https://t.co/jtHSKEtc0y ^SP",product,investigation,explicit_human_request|failed_support,3,3
