customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
2835609,789281,2835608,@AmazonHelp Ok thank you.,"Customer: @AmazonHelp It is regarding a cancelled order which it won't let me chose as the topic.
AmazonHelp: @789281 The selections do not have to be exact. Please try to make them as close to the issue as possible! ^AB
Customer: @AmazonHelp Ok thank you.",@789281 Anytime! Let us know if you have any other questions or concerns. We are always here to help! ^AL,cancellation,other,,3,5
1723359,124106,1723360,@AmazonHelp Nope no emails,"Customer: @AmazonHelp I’ve cancelled it now, but I haven’t had an email yet 😒 guess I’ll be doing a loooot of reading in the next month
AmazonHelp: @124106 Hi, please check your spam or junk folders for the cancellation email, we want to be sure this is resolved for you. ^TS
Customer: @AmazonHelp Nope no emails",@124106 Please contact us here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ,cancellation,investigation,,3,5
2176736,121657,2176739,@AmazonHelp yes !,"Customer: @115850 @AmazonHelp - with all the foolishness that I have to suffer with you idoits to just cancel my order from last 5 days is pure harassment, your ccare rep are idiots
AmazonHelp: @121657 That's quite a remark, could you please confirm if you've filled the details in the link provided to you earlier? ^SU
Customer: @AmazonHelp yes !","@121657 If you have shared your details with us, you can check for our correspondence here : https://t.co/DTSNmGldJf. ^CB",cancellation,information,,3,5
130257,145378,130258,@AmazonHelp There’s nothing there,"Customer: @AmazonHelp But what was the problem?
AmazonHelp: @145378 Usually, order cancellation is accompanied by an email with the reason mentioned in it. Please check it here: https://t.co/NTkrxpsbHJ. ^SF
Customer: @AmazonHelp There’s nothing there",@145378 Order cancellation always follows with an email explaining the reason. I would request you to please check the message center in your app or in the spam folder of your inbox for an update from us. Thank you for understanding. ^SI,cancellation,information,,3,5
2416825,370209,2416827,@AmazonHelp Yes I think so,"Customer: @115830 I’ve tried to cancel my prime trial but I’m told I’m not a member?
AmazonHelp: @370209 Hi Laura- Did you receive a confirmation email that you had signed up to a trial originally? ^NV
Customer: @AmazonHelp Yes I think so","@370209 If you are not able to find the subscription to cancel it, please reach out to us directly to check: https://t.co/JzP7hlA23B ^MJ",cancellation,other,,3,4
729378,214977,729379,@AmazonHelp oops. sorry. deleting that tweet,"Customer: @AmazonHelp I thought it was sorted, but my orders are still open. it's not shifted to the CANCELLED ORDERS :O https://t.co/f1BUjkooGl
AmazonHelp: @214977 Please don't provide your order details as we consider it to be personal info. Our page is visible to the public. (2/2) ^GK
Customer: @AmazonHelp oops. sorry. deleting that tweet",@214977 Thanks for understanding. ^GS,cancellation,acknowledgement,,3,4
1105764,380952,1105765,@AmazonHelp I haven't received my 101₹ Cashback. Over one month I didn't receive and complained already raised still I didn't receive my Cashback. I trying since one month still issue is pending. I want my Cashback and compensation. Ridiculous service @115850 @AmazonHelp @14045 https://t.co/rsjn8YDDwx,"Customer: @115850 I accidentally requested for cancellation please don't cancel my order. Order # 404-9441701-1229127
AmazonHelp: @380952 &amp; we'll get it delivered to you as soon as possible. 2/2 ^EM
Customer: @AmazonHelp I haven't received my 101₹ Cashback. Over one month I didn't receive and complained already raised still I didn't receive my Cashback. I trying since one month still issue is pending. I want my Cashback and compensation. Ridiculous service @115850 @AmazonHelp @14045 https://t.co/rsjn8YDDwx","@380952 Apologies for the delay in the cash back. We'd like to sort this for you. Please share your details here: https://t.co/GIJyeYqKE0. We'll reach out to you with an update. Also, Please don't provide your order details, we consider it personal information. ^VN",cancellation,privacy_restriction,missing_delivery|high_frustration,3,3
345103,192516,345105,@AmazonHelp Still need other orders cancelled.,"Customer: @AmazonHelp I requested a cancellation on an order, I got an email that said it could not be cancelled from Amazon, then shop cancelled it for me.
AmazonHelp: @192516 That's great the seller was able to cancel for you. Let us know if there's anything else you need assistance with. ^AM
Customer: @AmazonHelp Still need other orders cancelled.",@192516 Did you receive a 'not able to be canceled' notice about the other orders as well? ^HC,cancellation,other,,3,4
441016,219632,441018,@AmazonHelp Do I just delete it ?@,"Customer: @AmazonHelp Co.uk
AmazonHelp: @219632 You should be able to cancel your order under the 'Digital' tab here: https://t.co/aaDyEz1VgE, then re-order the book. ^NC
Customer: @AmazonHelp Do I just delete it ?@","@219632 Hi, have you been able to select 'return for refund': https://t.co/o3I9SX4yp2 You should receive a confirmation email. ^TS",cancellation,refund_replacement,,3,4
180686,158472,180684,@AmazonHelp Yes I did .,"Customer: @AmazonHelp. I cancel my free trial and u guys still charge me...why?
AmazonHelp: @158472 Hi, sorry to hear that, did you get an email to confirm the cancellation? Have you been able to cancel since? ^JJ
Customer: @AmazonHelp Yes I did .",@158472 Was the charge on the same date of due upgrade from trial - or did you accidentally sign up on a different date (without trial)? ^TD,cancellation,other,,3,4
2835698,789300,2835699,"@AmazonHelp Yes I can reorder as I've already said, but at a much higher price!!!","Customer: @AmazonHelp Are you going to help with this matter???
AmazonHelp: @789300 Thanks for reaching out to us! I'm sorry the items you received were not what you expected! Were you able to re-order the items? ^TK
Customer: @AmazonHelp Yes I can reorder as I've already said, but at a much higher price!!!",@789300 Please contact us regarding the repurchase so we can take a closer look into this with you: https://t.co/JzP7hlA23B ^KB,cancellation,investigation,,3,3
144172,141442,145821,@115850 https://t.co/Bf9NmdSszt,"Customer: @115850 &amp; again happening with my 2nd order.My order no. is 405-7015545-3145145. I contacted 3 times to CC but it still showing not yet dispatched.
Customer: @115850 @115850 , No action was taken status is still showing “not yet dispatched” ,again a false promise like last time wait till due date and contact us after due date and when i will contact after due date ,will be told to cancel the order and reorder again.
Customer: @115850 https://t.co/Bf9NmdSszt",@141442 We are currently working on your issue and we'll get back to you with update soon. ^VH,cancellation,other,,3,3
182923,158356,182924,@AmazonHelp Any updates after 21hours? I want to cancel order. Let me know how to proceed. No cancellation action on the website,"Customer: @AmazonHelp Yes I have shared my details on the provided link.
AmazonHelp: @158356 Thanks for confirming. We'll check and get back to you with an update soon. ^NR
Customer: @AmazonHelp Any updates after 21hours? I want to cancel order. Let me know how to proceed. No cancellation action on the website",@158356 We've sent you a correspondence. Kindly check the same here: https://t.co/ubzNHWZvL2 ^SG,cancellation,other,,3,3
182926,158356,182929,@AmazonHelp Is this the correspondence you were talking about? Worst service by @115850,"Customer: @AmazonHelp Any updates after 21hours? I want to cancel order. Let me know how to proceed. No cancellation action on the website
AmazonHelp: @158356 We've sent you a correspondence. Kindly check the same here: https://t.co/ubzNHWZvL2 ^SG
Customer: @AmazonHelp Is this the correspondence you were talking about? Worst service by @115850",@158356 Please check and respond to the email that was sent to you from the social media team. ^JC,cancellation,information,high_frustration,3,3
180688,158472,183614,@AmazonHelp And u guys still charge me ..,"Customer: @AmazonHelp. I cancel my free trial and u guys still charge me...why?
AmazonHelp: @158472 Hi, sorry to hear that, did you get an email to confirm the cancellation? Have you been able to cancel since? ^JJ
Customer: @AmazonHelp And u guys still charge me ..","@158472 I apologize for the trouble, you can cancel for a refund here: https://t.co/pf4jLVXqtx ^NC",cancellation,refund_replacement,,3,3
197923,162536,197930,@AmazonHelp I dont know all that Whatever may be the reason I want my order to be delivered to me at the Same Price . Atleast Dont cheat the Customers,"Customer: @115850 Cancelled my Order without my Concern #WorstService
AmazonHelp: @162536 Sorry about this inconvenience. Canceled orders are followed by an email with reason of cancellation. Please check. ^HD
Customer: @AmazonHelp I dont know all that Whatever may be the reason I want my order to be delivered to me at the Same Price . Atleast Dont cheat the Customers","@162536 I'm sorry about the trouble with your order. A canceled order cannot be re-instated. However, you can re-order it for the 1/2",cancellation,information,high_frustration,3,3
197923,162536,197921,@AmazonHelp I dont know all that Whatever may be the reason I want my order to be delivered to me at the Same Price . Atleast Dont cheat the Customers,"Customer: @115850 Cancelled my Order without my Concern #WorstService
AmazonHelp: @162536 Sorry about this inconvenience. Canceled orders are followed by an email with reason of cancellation. Please check. ^HD
Customer: @AmazonHelp I dont know all that Whatever may be the reason I want my order to be delivered to me at the Same Price . Atleast Dont cheat the Customers",@162536 best available price at the moment. We'd appreciate your understanding. 2/2,cancellation,other,high_frustration,3,3
2810300,783726,2810302,"@AmazonHelp Hmm.. ordered it through the app, I’m pretty sure it’s .com (it was ordered in dollar but converted to euro)","Customer: @115821 Could you please cancel my order! I ordered it on accident and did not want to spend 35 EUR on a flimsy alarm clock )-:
AmazonHelp: @783726 I'm sorry for the unexpected order. Which of our sites was this order placed on? (i.e. .com, .co.uk, .de) ^CL
Customer: @AmazonHelp Hmm.. ordered it through the app, I’m pretty sure it’s .com (it was ordered in dollar but converted to euro)",@783726 Thanks for the response! We don't have access to your account via Twitter. Please reach out to us here so we can look into this together: https://t.co/JzP7hlRCV9 ^MO,cancellation,acknowledgement,,3,3
