customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
530027,530023,242739,"@AmazonHelp The issue is that I have been subjected to nothing but poor service, bad merchandise and unacceptable behaviour by your customer service representatives.","@242739 Hi Vin, we would need some details on what's happened, without posting account sensitive info, in order to be able to help. ^TS","Customer: @AmazonHelp Your representatives have already refused to help. If you cannot service your customers, you should not be on business. This is now a legal matter.
AmazonHelp: @242739 We would like to assist you in this, Vin. Can you please tell us a bit more about the issue you are facing?^SM
Customer: @AmazonHelp The issue is that I have been subjected to nothing but poor service, bad merchandise and unacceptable behaviour by your customer service representatives.",3,Sat Dec 02 09:39:44 +0000 2017,Sat Dec 02 09:44:00 +0000 2017,customer_service_complaint,12,0,12,customer service; poor service; representative; unacceptable; customer service; poor service; representative; unacceptable,phone_chat,['customer service'],explicit_human_request;high_frustration,True,2,['deictic_reference'],True,the issue is that i have been subjected to nothing but poor service bad merchandise and unacceptable behaviour by your customer service representatives
2974902,2974901,820451,Amazon sent this yesterday. Package was not secure or signed for and was not at my house. Left by the side of the road!?! Told today that I️ am out the cost of the items and should report it to police. No help from customer service at all! So angry and frustrated!! Merry Xmas! https://t.co/WRn2VpXGM1,"@820451 I am so sorry this has happened, Anastasia. I would like a member of our team to look into this for you. Please provide more info here: https://t.co/VNzfc8AMFW ^BA",Customer: Amazon sent this yesterday. Package was not secure or signed for and was not at my house. Left by the side of the road!?! Told today that I️ am out the cost of the items and should report it to police. No help from customer service at all! So angry and frustrated!! Merry Xmas! https://t.co/WRn2VpXGM1,1,Thu Nov 30 02:04:08 +0000 2017,Thu Nov 30 02:37:00 +0000 2017,customer_service_complaint,12,0,12,customer service; no help; frustrated; angry; customer service; no help; frustrated; angry,phone_chat,['customer service'],high_frustration,True,2,['deictic_reference'],True,amazon sent this yesterday package was not secure or signed for and was not at my house left by the side of the road told today that i am out the cost of the items and should report it to police no help from customer service at all so angry and frustrated merry xmas
58148,58147,129200,Such a poor services of your Amazon customer services @115850 your representative told me that i would be eligible for the cashback,@129200 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. 2/2 ^HD,Customer: Such a poor services of your Amazon customer services @115850 your representative told me that i would be eligible for the cashback,1,Wed Nov 01 20:12:55 +0000 2017,Wed Nov 01 20:17:05 +0000 2017,customer_service_complaint,9,0,9,customer service; poor service; representative; customer service; poor service; representative,phone_chat,['customer service'],explicit_human_request,True,2,['deictic_reference'],True,such a poor services of your amazon customer services your representative told me that i would be eligible for the cashback
77470,77469,133256,@AmazonHelp @115830 have just made sure I wont order from them again. Awful customer service. An unidentified purchase was made using my card &amp; it was not made from my account. No help has been made to get back my money. Deeply disappointed &amp; angry. Thought more of the company,@133256 Sorry to hear of the poor experience you have had. Could a family member have accidentally placed an order with this payment method?^ES,Customer: @AmazonHelp @115830 have just made sure I wont order from them again. Awful customer service. An unidentified purchase was made using my card &amp; it was not made from my account. No help has been made to get back my money. Deeply disappointed &amp; angry. Thought more of the company,1,Thu Nov 30 12:12:46 +0000 2017,Thu Nov 30 12:18:33 +0000 2017,customer_service_complaint,9,3,6,customer service; no help; angry; customer service; no help; angry,phone_chat,['customer service'],high_frustration,True,2,['deictic_reference'],True,have just made sure i wont order from them again awful customer service an unidentified purchase was made using my card amp it was not made from my account no help has been made to get back my money deeply disappointed amp angry thought more of the company
121042,121041,142940,@115821 your customer support is piss poor. Instead of taking care of an issue your agents quit talking in chat?! Way to keep it classy!!,"@142940 I'm so sorry you were unable to finish your chat! We'd love to help if we can. Without including personal information, can you tell us more about the reason you were contacting us? ^JN",Customer: @115821 your customer support is piss poor. Instead of taking care of an issue your agents quit talking in chat?! Way to keep it classy!!,1,Thu Nov 23 23:33:48 +0000 2017,Thu Nov 23 23:40:25 +0000 2017,customer_service_complaint,9,0,9,customer support; support is; agent; customer support; support is; agent,phone_chat,['chat'],,False,2,['deictic_reference'],True,your customer support is piss poor instead of taking care of an issue your agents quit talking in chat way to keep it classy
140985,140974,147809,@115821 @115830 your customer support is TERRIBLE. i have wasted hours of my life with you on a move between USA-UK. surely a common use case. i am considering posting how unhelpful your agents are line-by-line. i've been a member since 1999. It's SHOCKING.,"@147809 Hello, I am sorry to hear about your recent experience. Without sharing any personal account information can you tell us what has occurred. We would like to help if possible. ^CR",Customer: @115821 @115830 your customer support is TERRIBLE. i have wasted hours of my life with you on a move between USA-UK. surely a common use case. i am considering posting how unhelpful your agents are line-by-line. i've been a member since 1999. It's SHOCKING.,1,Fri Nov 24 11:52:02 +0000 2017,Fri Nov 24 12:00:31 +0000 2017,customer_service_complaint,9,0,9,customer support; support is; agent; customer support; support is; agent,unknown,[],high_frustration,True,2,['deictic_reference'],True,your customer support is terrible i have wasted hours of my life with you on a move between usa uk surely a common use case i am considering posting how unhelpful your agents are line by line i've been a member since 1999 it's shocking
442941,442943,219983,@AmazonHelp How can there be no tracking on a priority delivery? It's ridiculous AND the chat agent lied to me about getting an option for a copy of the chat when I clicked End Chat... Your support is having a stellar day I must say,@219983 We want to know that your parcel gets to you. Please let us know if there is no sign of it.^BZ,"Customer: @AmazonHelp Wow, directing me to the people I've already said are not helping me... Good job... 🙄
AmazonHelp: @219983 Hi, if you are outside the UK, the parcel can be handed to a local carrier to complete the delivery. This means the tracking details may not update but we would still expect the order to arrive. If there is no sign of it, please let us know ^BZ
Customer: @AmazonHelp How can there be no tracking on a priority delivery? It's ridiculous AND the chat agent lied to me about getting an option for a copy of the chat when I clicked End Chat... Your support is having a stellar day I must say",3,Wed Nov 22 09:10:15 +0000 2017,Wed Nov 22 09:31:28 +0000 2017,customer_service_complaint,9,1,8,support is; agent; ridiculous; support is; agent; ridiculous,phone_chat,['chat'],high_frustration,True,2,['deictic_reference'],True,how can there be no tracking on a priority delivery it's ridiculous and the chat agent lied to me about getting an option for a copy of the chat when i clicked end chat your support is having a stellar day i must say
500864,500863,234636,@AmazonHelp I refuse to go through that process again as it hasn't got me anywhere the last 20 or so times I have attempted to sort this. Any other suggestions? I could perhaps talk to someone other than a customer service agent in a call center,"@234636 Our team would like to have a closer look into this with you. When you have a moment, please send us more details via this secure form: https://t.co/XwLUgFnHbf ^BH","Customer: @AmazonHelp I am being charged for a Prime subscription on my account that does not and has never existed. I am being told it is because another account has been using my card to pay their subscription but that is a lie and I have had that confirmed many times over
AmazonHelp: @234636 Please reach out to us once more so we may investigate this charge with you: https://t.co/2wPNGQdgF0 ^CL
Customer: @AmazonHelp I refuse to go through that process again as it hasn't got me anywhere the last 20 or so times I have attempted to sort this. Any other suggestions? I could perhaps talk to someone other than a customer service agent in a call center",3,Mon Nov 13 00:12:25 +0000 2017,Mon Nov 13 00:28:27 +0000 2017,customer_service_complaint,9,2,7,customer service; talk to someone; agent; customer service; talk to someone; agent,phone_chat,"['call', 'customer service', 'talk to']",explicit_human_request,True,2,['deictic_reference'],True,i refuse to go through that process again as it hasn't got me anywhere the last 20 or so times i have attempted to sort this any other suggestions i could perhaps talk to someone other than a customer service agent in a call center
512397,512395,237836,@115830 your customer service used to be so good and on the ball. Why break something that worked so well? Friday night well and truly wasted and issue still not resolved - shockingly poor service with nobody taking responsibility or not empowered to do so. Complaint inbound,"@237836 I'm sorry for the poor experience, David! That's not how we want our customers to feel! Do you mind elaborating a little more about what's going on? ^LA",Customer: @115830 your customer service used to be so good and on the ball. Why break something that worked so well? Friday night well and truly wasted and issue still not resolved - shockingly poor service with nobody taking responsibility or not empowered to do so. Complaint inbound,1,Fri Dec 01 23:27:04 +0000 2017,Fri Dec 01 23:35:30 +0000 2017,customer_service_complaint,9,0,9,customer service; poor service; complaint; customer service; poor service; complaint,phone_chat,['customer service'],,False,2,['deictic_reference'],True,your customer service used to be so good and on the ball why break something that worked so well friday night well and truly wasted and issue still not resolved shockingly poor service with nobody taking responsibility or not empowered to do so complaint inbound
519775,519776,239954,"@AmazonHelp Can you give me a number or link to talk to someone past 1st level customer service because I 'chatted' with someone tonight who was no help, wanted to resolve the issue by telling me they were a customer too and just to wait a few days!","@239954 I'm so sorry you did not get the help you need! If you wish to speak with us over the phone, please use the link provided to by ^JR previously. ^LH","Customer: @AmazonHelp Yes - you have been and are missing delivery dates - 2 orders on 11/28 missed delivery for 11/30 and 12/1. 2 orders that are still saying will be delivered by 8pm tomorrow have not shipped yet and I'm 99% sure I won't get them tomorrow.
AmazonHelp: @239954 We'd like to take a closer look at these orders with you and assist directly. When you have a moment, please reach us via phone or chat using this link: https://t.co/hApLpM3Ejd ^JR
Customer: @AmazonHelp Can you give me a number or link to talk to someone past 1st level customer service because I 'chatted' with someone tonight who was no help, wanted to resolve the issue by telling me they were a customer too and just to wait a few days!",3,Sat Dec 02 04:10:24 +0000 2017,Sat Dec 02 04:21:50 +0000 2017,customer_service_complaint,9,1,8,customer service; no help; talk to someone; customer service; no help; talk to someone,phone_chat,"['phone', 'chat', 'customer service', 'talk to']",explicit_human_request,True,2,['deictic_reference'],True,can you give me a number or link to talk to someone past 1st level customer service because i 'chatted' with someone tonight who was no help wanted to resolve the issue by telling me they were a customer too and just to wait a few days
