customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
3751,116617,3752,@AmazonHelp Sadly yes,"Customer: @AmazonHelp Many times, but still failing, and it happen with some show
AmazonHelp: @116617 Is this still ongoing? What devices are you using? ^AN
Customer: @AmazonHelp Sadly yes",@116617 What devices are you using for Amazon Video? ^AN,product,other,,3,5
10640,117948,10641,@AmazonHelp No package.,"Customer: @AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.
AmazonHelp: @117948 Hi Mark! Deliveries will run up until 21:00. Let us know what happens. Chuck H
Customer: @AmazonHelp No package.",@117948 I'm sorry it hasn't arrived! Please get in touch with us here: https://t.co/hApLpMlfHN for available options. ^EZ,delivery,refund_replacement,,3,5
11032,118079,11033,@AmazonHelp Yes,"Customer: @AmazonHelp They did not. The wrinkle is, I board a plane for the U.K. In the am and these items were part of the attire for the wedding im in.
AmazonHelp: @118079 Hey, Mike! Were the other late items also shipped via USPS? You can check here: https://t.co/Y5jpI9gRhE ^LA
Customer: @AmazonHelp Yes",@118079 I hope you are willing to give us a chance in the future to make things right. ^TN (2/2),shipping,other,,3,5
11032,118079,11034,@AmazonHelp Yes,"Customer: @AmazonHelp They did not. The wrinkle is, I board a plane for the U.K. In the am and these items were part of the attire for the wedding im in.
AmazonHelp: @118079 Hey, Mike! Were the other late items also shipped via USPS? You can check here: https://t.co/Y5jpI9gRhE ^LA
Customer: @AmazonHelp Yes","@118079 I'm sorry we let you down on this order. If the order arrives too late, you can return them for a full refund. ^TN (1/2)",shipping,refund_replacement,,3,5
19442,120317,19440,@AmazonHelp Ok thank u,"Customer: @115850 want to be the Amazon retailer of grocery in dehradun . Please help me
AmazonHelp: @120317 We've responded to your query via DM, please check. ^HA
Customer: @AmazonHelp Ok thank u","@120317 You're welcome, Aleema. Do let us know if you need any further assistance. ^SY",information,acknowledgement,,3,5
24532,121290,24534,@AmazonHelp Yes,"Customer: @AmazonHelp I am unable to Use Prime Video even though I am Prime Member it tells me to sign up for prime Membership
AmazonHelp: @121290 Apologies for the trouble. Could you please let us know if you have logged in on prime enabled account? ^SB
Customer: @AmazonHelp Yes",@121290 May I please know what error do you see while trying to access the videos? ^SH,product,other,,3,5
24537,121290,24539,@AmazonHelp Yes,"Customer: @AmazonHelp It's says to sign up for prime and then takes me to website where I see manage prime Membership page once I login
AmazonHelp: @121290 Are you using the same login credentials of the Amazon Prime account ? ^CB
Customer: @AmazonHelp Yes",@121290 Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll have this checked. ^GK,account,other,,3,5
28416,122219,28415,@AmazonHelp Still no information @115821,"Customer: @AmazonHelp @115821 it's the South Park game on PS4 coming out next week. I actually am not sure I want it but I can't see its price or cancel it
AmazonHelp: @122219 I'd like a member of our team to look into this for you. Please provide your details here: https://t.co/iLpO4PfSwl ^RA
Customer: @AmazonHelp Still no information @115821",@122219 I'm sorry for the wait. I've checked with the associate that's been assisting and they'll reply once we have more info. ^AM,information,other,,3,5
28960,122371,28961,@AmazonHelp Yes,"Customer: @AmazonHelp Sir pls update ur page abt prizes !! Or it seems to be a gimmick for us..
AmazonHelp: @122371 Are you looking for the results of the iPhone Quiz? If yes, kindly tell us more on this. ^SG
Customer: @AmazonHelp Yes",@122371 You may check it out here: https://t.co/MGupOOYvHT. Do let us know for any further query. ^AM,complaint,information,explicit_human_request,3,5
31401,122922,31403,@AmazonHelp No,"Customer: @115830 I've been waiting for a parcel that was meant to arrive on Monday, to log in to my orders today to find that it is being returned
AmazonHelp: @122922 Did you get any email confirmation about this return? ^KM
Customer: @AmazonHelp No",@122922 Oh no! Sometimes parcels are returned to us as undeliverable. You can read more about it here: https://t.co/pIA6sR0X1L ^TG,refund,refund_replacement,,3,5
33179,120321,33180,@AmazonHelp No email received...,"Customer: @115850 Then they mentioned the issue has been escalated and it would delivered in next 2 hours....6:30 PM....still waiting...
AmazonHelp: @120321 My apologies for the delay, Ramesh. Kindly revert to the email sent to you and we will have this checked further. ^KS
Customer: @AmazonHelp No email received...","@120321 I get you being upset, Ramesh. As our team is working, they'll ensure to get back to you with an update soon.Request you to wait.^NK",delivery,other,,3,5
