customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
2883426,799931,2883422,@AmazonHelp No,"Customer: @115830 - the worst the telephone customer service I have EVER experienced! 50 minutes to arrange a simple return...and still not confident they are collecting from the correct address.
AmazonHelp: @799931 I'm sorry to hear about the poor experience. Have you received an email follow up to your call confirming the details of your collection? ^MI
Customer: @AmazonHelp No","@799931 If a collection has been arranged, you will be emailed with the details. Please be sure to also check your spam folders, in case the email has gone there. Maybe leave it a little while and if there is no sign of the email, let us know.^BZ",complaint,other,explicit_human_request|high_frustration,3,5
1498514,467928,1498516,@AmazonHelp Yes :(,"Customer: When you place an order through @115850 and things go missing. Oh, @61395 ..I hope the customer service steps up
AmazonHelp: @467928 I'm sorry about the unpleasant experience. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^GD
Customer: @AmazonHelp Yes :(",@467928 Please let us know if your query is resolved? ^BS,complaint,acknowledgement,,3,5
2523763,414921,2523764,@AmazonHelp Yes,"Customer: @AmazonHelp Do.me a favour plz send pick up boy fir take it back as earlier as possible
AmazonHelp: @414921 Could you please confirm if you had tried reaching our support team through the link provided earlier. ^AH
Customer: @AmazonHelp Yes",@414921 We'd like to look into it. Kindly share your details here: https://t.co/beaaDm0muc we'll get back to you. ^AP,complaint,investigation,,3,5
2290857,665414,2290858,@AmazonHelp Sent AGAIN !,"Customer: @AmazonHelp forced me to escalate this matter. @115851 - hi Jeff ! Am a customer of your esteemed company and find few gaps in your Indian subsidiary SOP. My order details &amp; contact details are as follows - Nilesh Garg,+919326103122. Order no 403-7264416-5820316. Need your intervention .
AmazonHelp: @665414 Hello, please accept my sincere apologies for your recent experience. Kindly fill in your details here: https://t.co/GIJyeYqKE0, and I'll look into it. Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR
Customer: @AmazonHelp Sent AGAIN !",@665414 Thank you. We'll work on it and get back to you with an update soon. ^NR,complaint,acknowledgement,,3,5
990229,270216,990231,@AmazonHelp Mobile no 9835128475 https://t.co/knLnI7xpGU,"Customer: @AmazonHelp No, it's complicated. So many blanks is to be filled. I leave that
AmazonHelp: @270216 Please share the details on the link as follows: Your preferred phone number: ""Contact number"", Your Twitter handle: ""Amar_Kundan"", URL to Twitter message: ""https://t.co/r4LLgdDLx2"", 1/2 ^AP
Customer: @AmazonHelp Mobile no 9835128475 https://t.co/knLnI7xpGU","@270216 My apologies, Amar. However, Twitter being a social media platform, we will not be able to access your account details. Please fill in your details via the link provided earlier and we will have this checked. ^KS 1/2",complaint,privacy_restriction,explicit_human_request,3,5
2927682,130737,2927683,@AmazonHelp Ok I try,"Customer: @AmazonHelp Customer service is not reachable any time.. Contact me from your side.
AmazonHelp: @130737 You can either chat or request a call back from us through this link: https://t.co/vlvfJr4nN9. ^SI
Customer: @AmazonHelp Ok I try",@130737 Sorry for the trouble while connecting with our support team. Please tell us about the error that you're getting while trying to connect. We are here to help. ^KK,complaint,other,explicit_human_request,3,5
1477265,463006,1477267,@AmazonHelp Wasn't on the list of recommended it was a notification from the app on my phone. I've never bought beauty items or even looked.,"Customer: #Amazon really really dont want push notifications saying I've not bought beauty products.... wtf I've not bought cleaning either :p
AmazonHelp: @463006 Oh No Rachelle! Let's get those recommendations fixed here: https://t.co/txG9s2Wex4 Let us know if that doesn't help. ^QJ
Customer: @AmazonHelp Wasn't on the list of recommended it was a notification from the app on my phone. I've never bought beauty items or even looked.",@463006 Is this something that is only occurring with your app notifications ? ^CR,complaint,other,explicit_human_request|failed_support|high_frustration,3,3
182930,158356,182931,@AmazonHelp No emails yet!,"Customer: @AmazonHelp Is this the correspondence you were talking about? Worst service by @115850
AmazonHelp: @158356 Please check and respond to the email that was sent to you from the social media team. ^JC
Customer: @AmazonHelp No emails yet!",@158356 That's odd! Please check your inbox/ spam folders for a correspondence sent. Do keep us posted. ^SV,complaint,information,high_frustration,3,5
1704058,516549,1704060,@AmazonHelp If refund is the only option how long will it take? I really wanted this product but cant wait long,"Customer: @516550 @AmazonHelp bro yall lost my package fml! Actually so mad! Yall dont even answer phones. Too pissed to talk!
AmazonHelp: @516549 I'm very sorry about the missing package! Please reach out us in real-time for available options: https://t.co/hApLpMlfHN ^HM
Customer: @AmazonHelp If refund is the only option how long will it take? I really wanted this product but cant wait long",@516549 The time frame depends on the payment method type. You can learn more about the refund times here: https://t.co/SP5KwZvZpw ^BH,complaint,self_service,explicit_human_request|missing_delivery|high_frustration,3,3
1711428,126009,1711426,@AmazonHelp Still speechless I see. Yeah. @115821 talks a big game til they fail. Then they hope you ignore it! #badbusiness,"AmazonHelp: @126009 I'm sorry you haven't received your order yet. What does your current tracking status show? https://t.co/q4LAMZ3tbE ^AM
Customer: @AmazonHelp It shows bullshit! I am more pissed about the “guarantee” with no consequences and idiot I chatted with yesterday! https://t.co/mFkUYFJn6e
Customer: @AmazonHelp Still speechless I see. Yeah. @115821 talks a big game til they fail. Then they hope you ignore it! #badbusiness","@126009 When speaking w/ us, what options did we give you? If you have not reached us, you can do so here: https://t.co/hApLpMlfHN ^DD",complaint,information,explicit_human_request|missing_delivery|high_frustration,3,3
191597,161034,191716,@AmazonHelp Same issue,"Customer: @AmazonHelp Its showing issue w/ connection
AmazonHelp: @161034 Please try removing the app, restarting your phone, and then redownloading the app. Let us know if this works. ^VS
Customer: @AmazonHelp Same issue",@161034 We'd like to take a look at this a bit closer with you. Please call or chat with us here: https://t.co/hApLpMlfHN ^MH,complaint,other,explicit_human_request,3,5
