customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
136850,136848,146868,@AmazonHelp hello I have ordered an 32 GB sd card from you guys.. but you delivered an defective product.. I want to return it.. you guys were asking for a replacement which I don't to.. please refund me the amount https://t.co/w0V2KGNJM3,@146868 I'm sorry that you received a defective item. Please note that we only have a replacement policy for SD cards. You refer to the link for more information: https://t.co/gYYDFKUNPY. Appreciate your understanding. ^AM,Customer: @AmazonHelp hello I have ordered an 32 GB sd card from you guys.. but you delivered an defective product.. I want to return it.. you guys were asking for a replacement which I don't to.. please refund me the amount https://t.co/w0V2KGNJM3,1,Fri Nov 24 09:47:08 +0000 2017,Fri Nov 24 10:11:30 +0000 2017,return_refund_replacement,12,0,12,want to return; refund; replacement; defective; want to return; refund; replacement; defective,refund_replacement,"['refund', 'replacement', 'replace', 'return']",,False,2,['deictic_reference'],True,hello i have ordered an 32 gb sd card from you guys but you delivered an defective product i want to return it you guys were asking for a replacement which i don't to please refund me the amount
485376,485379,230477,@AmazonHelp Its now 277! I want to return it and get my money back. Its 2 days late and i refuse to now accept its 122 pounds cheaper. Return and refund please https://t.co/5mO7fCAdmv,"@230477 We're unable to access accounts here on Twitter. For available return options, visit: https://t.co/D1l7lD2F3x You can also contact us directly at: https://t.co/JzP7hlA23B so we can look into the return. - Liz I","Customer: Why would i rejoin prime when the last two orders i place with Amazon were late?? @115830 @AmazonHelp https://t.co/gbNna0BHcW
AmazonHelp: @230477 I'm sorry for the wait. Just to confirm, did we miss the delivery dates listed in your order confirmation e-mails? If so, have you had a chance to contact us to report the delays? ^RA
Customer: @AmazonHelp Its now 277! I want to return it and get my money back. Its 2 days late and i refuse to now accept its 122 pounds cheaper. Return and refund please https://t.co/5mO7fCAdmv",3,Sat Dec 02 15:27:53 +0000 2017,Sat Dec 02 15:35:00 +0000 2017,return_refund_replacement,12,1,11,want to return; refund; money back; get my money back; want to return; refund; money back; get my money back,refund_replacement,"['refund', 'return', 'money back']",,False,2,['deictic_reference'],True,its now 277 i want to return it and get my money back its 2 days late and i refuse to now accept its 122 pounds cheaper return and refund please
2485654,2485651,226779,@115821 @AmazonHelp @115850 please refund my money.. recharged for talk time.. you gave me data.. which I don't want.. It's going like.. I ordered and paid for pizza.. and you are serving burger of our own wish..😡😡 don't cheat us like this.. Return my money back.. https://t.co/1o7Y73hheN,@226779 I'm sorry about that. Kindly reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll look into it. ^GD,Customer: @115821 @AmazonHelp @115850 please refund my money.. recharged for talk time.. you gave me data.. which I don't want.. It's going like.. I ordered and paid for pizza.. and you are serving burger of our own wish..😡😡 don't cheat us like this.. Return my money back.. https://t.co/1o7Y73hheN,1,Wed Nov 15 15:37:15 +0000 2017,Wed Nov 15 15:46:30 +0000 2017,return_refund_replacement,9,9,0,return my; refund; money back; return my; refund; money back,refund_replacement,"['refund', 'return', 'money back']",,False,4,"['deictic_reference', 'competing_intents']",True,please refund my money recharged for talk time you gave me data which i don't want it's going like i ordered and paid for pizza and you are serving burger of our own wish don't cheat us like this return my money back
2890548,2890550,467643,"@AmazonHelp Wrong items sent multiple times, damaged items, drivers not even knocking on door, cut off on the phone twice, unauthorised payments, told incorrect information multiple times on phone, advised to discard of broken item-then attempted to be charged for it. Never used to be as bad","@467643 I'm terribly sorry for the poor experience, Ashleigh! We certainly don't expect this to happen. We're not able to view your account via Twitter. However, please allow us another opportunity to look into this further with you here: https://t.co/JzP7hlA23B ^AB","Customer: Really fed up of @115830 now, awful service for the last 2-3 months, just keeps getting worse. Constantly told one thing, then another happens, then 'sorry' and it still continues. I think our Amazon days will soon be over at this rate. The amount of hours on the phone- unreal!
AmazonHelp: @467643 Hello Ashleigh, without providing any personal info/account details, could you please explain the issue you are facing? ^BD
Customer: @AmazonHelp Wrong items sent multiple times, damaged items, drivers not even knocking on door, cut off on the phone twice, unauthorised payments, told incorrect information multiple times on phone, advised to discard of broken item-then attempted to be charged for it. Never used to be as bad",3,Tue Nov 28 15:04:29 +0000 2017,Tue Nov 28 15:08:56 +0000 2017,return_refund_replacement,9,9,0,damaged item; wrong item; broken item; damaged item; wrong item; broken item,information,"['information', 'details', 'explain']",high_frustration,True,4,"['deictic_reference', 'competing_intents']",True,wrong items sent multiple times damaged items drivers not even knocking on door cut off on the phone twice unauthorised payments told incorrect information multiple times on phone advised to discard of broken item then attempted to be charged for it never used to be as bad
83494,83496,134345,"@AmazonHelp Exactly that's what I am saying it's not refund, the money is still in accounts of Amazon and you just offer alternate purchase not refund. Fooling people with refund term. One make a purchase, copied local product comes and i dont get my money back in account. Not satisfied",@134345 As informed earlier once the refund is processed to Amazon pay the same can not be transferred to Bank account. You can use the same in your future orders or one of our partner websites. ^VH,"Customer: Once an amount transferred to Amazon wallet, it cant be taken back in your bank, as per @115850 So, if you return the item, the amount is in company's wallet until you purchase something else. Means #false representation of refund schemes. #customerservice #failure #cheating
AmazonHelp: @134345 I'm sorry for the experience with your refund, Sharad. However, once refund is processed into your amazon pay balance, it cannot be transferred back to your bank account. But you may use the same to make purchases on our website. Appreciate your understanding. ^HS
Customer: @AmazonHelp Exactly that's what I am saying it's not refund, the money is still in accounts of Amazon and you just offer alternate purchase not refund. Fooling people with refund term. One make a purchase, copied local product comes and i dont get my money back in account. Not satisfied",3,Fri Dec 01 15:25:39 +0000 2017,Fri Dec 01 16:00:22 +0000 2017,return_refund_replacement,9,3,6,refund; money back; get my money back; refund; money back; get my money back,refund_replacement,"['refund', 'return', 'money back']",,False,2,['deictic_reference'],True,exactly that's what i am saying it's not refund the money is still in accounts of amazon and you just offer alternate purchase not refund fooling people with refund term one make a purchase copied local product comes and i dont get my money back in account not satisfied
107290,107289,138642,"Hi Jeff, I have purchased the wrong mobile set from amazon. Now, i want to return my mobile (order no 404-9391432-5602714). But amazon support team is saying that, they can't return. This mobile set is not useful for me. Please help me @115851 @115821 @AmazonHelp","@138642 I get your concern regarding the return of mobile. However, unless the phone was delivered to you in a damaged/defective condition, we'll not be unable to authorize a return for the order. For more details please visit the following link: https://t.co/zs6MJyuR90.^SM","Customer: Hi Jeff, I have purchased the wrong mobile set from amazon. Now, i want to return my mobile (order no 404-9391432-5602714). But amazon support team is saying that, they can't return. This mobile set is not useful for me. Please help me @115851 @115821 @AmazonHelp",1,Thu Nov 30 18:32:41 +0000 2017,Thu Nov 30 18:51:37 +0000 2017,return_refund_replacement,9,0,9,return my; want to return; return this; return my; want to return; return this,refund_replacement,['return'],,False,2,['deictic_reference'],True,hi jeff i have purchased the wrong mobile set from amazon now i want to return my mobile order no 404 9391432 5602714 but amazon support team is saying that they can't return this mobile set is not useful for me please help me
123379,123377,143565,@AmazonHelp Hi i got some instax mini film a pack of 20. The first 10 work and the second pack does not work. How can i return this and get a refund/replacement because you sent me faulty film for one pack but not for the other pack so can't send back original. please help!,@143565 I'm sorry for the trouble! You can see our return options for your order at the Returns Support Centre: https://t.co/wiK32ggJTX ^LR,Customer: @AmazonHelp Hi i got some instax mini film a pack of 20. The first 10 work and the second pack does not work. How can i return this and get a refund/replacement because you sent me faulty film for one pack but not for the other pack so can't send back original. please help!,1,Fri Nov 24 00:56:06 +0000 2017,Fri Nov 24 01:07:39 +0000 2017,return_refund_replacement,9,6,3,return this; refund; replacement; return this; refund; replacement,refund_replacement,"['refund', 'replacement', 'replace', 'return']",,False,2,['deictic_reference'],True,hi i got some instax mini film a pack of 20 the first 10 work and the second pack does not work how can i return this and get a refund replacement because you sent me faulty film for one pack but not for the other pack so can't send back original please help
133883,133881,146160,@115850 @115821 is there anyone your organization who can look into my complain and return my money or should I go to the consumer forum and other such platforms to get my money back?,@146160 Looks like you've had an unpleasant experience with us. Could you please elaborate what went wrong? We would like to help. ^RB,Customer: @115850 @115821 is there anyone your organization who can look into my complain and return my money or should I go to the consumer forum and other such platforms to get my money back?,1,Sun Nov 12 11:40:32 +0000 2017,Sun Nov 12 12:07:28 +0000 2017,return_refund_replacement,9,3,6,return my; money back; get my money back; return my; money back; get my money back,refund_replacement,"['return', 'money back']",,False,2,['deictic_reference'],True,is there anyone your organization who can look into my complain and return my money or should i go to the consumer forum and other such platforms to get my money back
205253,205252,164625,"@115850 hi, need to return a product. This was a gift and tried late and found to be defective. Just crossed couple of days after allowed date for replacement. Could you help us return this?",@164625 I'm sorry to know about the defective product. Please reach us from here: https://t.co/rS49hgaADF we'll check your details and help you further accordingly. ^SV,"Customer: @115850 hi, need to return a product. This was a gift and tried late and found to be defective. Just crossed couple of days after allowed date for replacement. Could you help us return this?",1,Sat Nov 25 02:06:23 +0000 2017,Sat Nov 25 02:08:27 +0000 2017,return_refund_replacement,9,0,9,return this; replacement; defective; return this; replacement; defective,refund_replacement,"['replacement', 'replace', 'return']",,False,2,['deictic_reference'],True,hi need to return a product this was a gift and tried late and found to be defective just crossed couple of days after allowed date for replacement could you help us return this
330906,330904,194782,@115850 Worst experience with Amazon. Bought a mobile with exchange and it turned out to be a defective piece. No option for replacement,@194782 I'm sorry to know about the damage. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA,Customer: @115850 Worst experience with Amazon. Bought a mobile with exchange and it turned out to be a defective piece. No option for replacement,1,Sat Oct 07 17:44:43 +0000 2017,Sat Oct 07 18:10:30 +0000 2017,return_refund_replacement,9,0,9,replacement; exchange; defective; replacement; exchange; defective,refund_replacement,"['replacement', 'replace']",high_frustration,True,2,['deictic_reference'],True,worst experience with amazon bought a mobile with exchange and it turned out to be a defective piece no option for replacement
