customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
528314,242137,528315,@AmazonHelp No,"Customer: Ordered a case and screen protector for my new phone on Wednesday and now it won’t be here until Monday 🙂 wtf @115821 it’s 2 day shipping not 5 dayyyyyy
AmazonHelp: @242137 Hi I am sorry to hear about the delay, were you emailed an explanation as to why it was? ^HS
Customer: @AmazonHelp No",@242137 We'd like to get some additional details from the carrier and look into available options with you! Please reach us directly via phone or chat here: https://t.co/hApLpMlfHN ^CS,shipping,phone_chat,explicit_human_request|high_frustration,3,5
386189,132658,386190,@AmazonHelp It was amazon.,"Customer: @AmazonHelp Now I'm left wondering if an exchange for another item would be possible as I have no way to ship it back to you without a box
AmazonHelp: @132658 Was your TV shipped and sold by Amazon or sold by a third-party seller and fulfilled by Amazon: https://t.co/aaDyEz1VgE? ^NC
Customer: @AmazonHelp It was amazon.","@132658 Even with an exchange, the delivery man would not be to collect at the same time. Did you discuss the return with us ? ^TD",shipping,refund_replacement,,3,5
883905,329902,883907,@AmazonHelp Yes you did,"Customer: Why do I pay for Prime membership if you don't make good on your two day shipping promise @115821 ?
AmazonHelp: @329902 Just to confirm, did we miss the delivery date in the confirmation e-mail? You can check here: https://t.co/D3008e9sBN ^BH
Customer: @AmazonHelp Yes you did",@329902 Thanks for the info. What does the most recent tracking info state here: https://t.co/q4LAMZ3tbE? ^GG,shipping,acknowledgement,,3,5
404044,211635,404046,@AmazonHelp Yes it was,"Customer: @AmazonHelp I thought amazon prime fame with free two day shipping not make the cost higher?
AmazonHelp: @211635 Hi, have you been charged for shipping? Is the item Prime eligible? ^JJ
Customer: @AmazonHelp Yes it was","@211635 If you have been charged shipping erroneously, please give us a ring or chat and we can help: https://t.co/hApLpMlfHN ^JD",shipping,other,,3,5
480315,229155,480314,@AmazonHelp Yes,"Customer: Not exactly sure why I am paying 100$ a month for @115821 prime when all my orders are getting delayed when shipped to me. I thought my service was a guaranteed 2 day shipping?
AmazonHelp: @229155 I'm sorry your orders aren't arriving when expected. We always aim to meet the delivery date given in your order confirmation e-mail. Have we been missing that date? ^KH
Customer: @AmazonHelp Yes","@229155 When you get a chance, Cierra, reach out to us here by phone or chat: https://t.co/hApLpMlfHN so we can explore all our options with you in real-time! Keep us posted! ^FR",shipping,phone_chat,,3,5
2493697,711843,2493699,@AmazonHelp no,"Customer: @AmazonHelp one is not which would understandably delay that package yet my order was split into two packages which both have been delayed past eta
AmazonHelp: @711843 Are any of the other items form the second order currently unavailable or have a later release date than the expected shipping date you posted? ^WM
Customer: @AmazonHelp no","@711843 We'd like to take a closer look, but we're unable to bring your account up here. When you get the chance, let's continue working together here: https://t.co/hApLpMlfHN ^FD",shipping,investigation,,3,5
1066652,371723,1066654,@AmazonHelp Yes,"Customer: @AmazonHelp It hasn't arived yet i was being sarcastic
AmazonHelp: @371723 Sorry that we misunderstood! Was this order shipped by Amazon or a seller on our site? Check: https://t.co/PyACxvY8Qo ^JE
Customer: @AmazonHelp Yes",@371723 We'd like to take a closer look into the delay! Please reach us via phone/chat here: https://t.co/Q7Ftz6nj80 ^CS,shipping,investigation,,3,5
2941975,812839,2941977,@AmazonHelp Still not in https://t.co/nZ9AlouqYH,"Customer: @AmazonHelp ordered this case over a week ago on November 22nd through Amazon Prime w/express shipping. It hasnt been shipped. Wondering as to whats going on. https://t.co/kFvyigyDo9
AmazonHelp: @812839 Items can be shipped and delivered on the same day. Please keep us updated on its arrival! ^ZW
Customer: @AmazonHelp Still not in https://t.co/nZ9AlouqYH",@812839 I am so sorry your package hasn't arrived! Can you provide us with the carrier? You can find that here: https://t.co/PyACxvY8Qo ^LS,shipping,information,,3,5
2304054,315696,2304056,@AmazonHelp Sadly Prime.,"Customer: Open razor popped out of my @115821 order 🤢😷 #Amazon #primedisease #ew #wt% https://t.co/JqyALj5IS7
AmazonHelp: @315696 That's not the experience we'd like you to have! Was this shipped by Amazon or a 3rd-party seller: https://t.co/Y5jpI9gRhE?^JM
Customer: @AmazonHelp Sadly Prime.",@315696 I'd like to have a member of our team look into this for you. Please send us the order details: https://t.co/LnYOAs44wW ^EB,shipping,investigation,,3,5
910718,336304,910719,@AmazonHelp Yes same day,"Customer: @AmazonHelp Issue unresolved. We r not able to contact you from my registered mobile.
AmazonHelp: @336304 Just to confirm, have you dropped in your details using the link provided by ^GK ? We'd like to have a look into it. ^AB
Customer: @AmazonHelp Yes same day",@336304 I'm sure you would have received an email correspondence from our team. (1/2) ^VM,shipping,other,,3,5
