customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
525583,241591,525582,@AmazonHelp It was expected November 30th. The arrival scan was 7:44 PM November 30th. It has been there since then. Every time I contact customer support I am told to wait and to understand the situation with no offer to remedy it. I initiated the order on November 27th with Prime 2 day.,"Customer: @AmazonHelp I have an order with the expected delivery date of Thursday, November 30th. It did not come. I have contacted live chat and they told me that it would come Friday, December 1st. It did not come as well. Now I'm being told to wait until December 2nd? Not helpful.
AmazonHelp: @241591 I'm sorry you haven't received your order. That's not the type of service that we aim to provide. What's the current order status? You can check that info here: https://t.co/Y5jpI9ys9c ^FJ
Customer: @AmazonHelp It was expected November 30th. The arrival scan was 7:44 PM November 30th. It has been there since then. Every time I contact customer support I am told to wait and to understand the situation with no offer to remedy it. I initiated the order on November 27th with Prime 2 day.",@241591 I completely understand your frustration! Please let us know if it doesn't arrive on December 2 by 8 PM and we will have more options then. ^TN,delivery,acknowledgement,explicit_human_request|failed_support|missing_delivery,3,3
420478,215213,420479,@115850 order not delivered yet.. Worst and horrible service provider..!!! Customer care is also not helpful.. No response from amazon yet,Customer: @115850 order not delivered yet.. Worst and horrible service provider..!!! Customer care is also not helpful.. No response from amazon yet,@215213 I'm sorry about the issue you're facing with delivery. Let us look into it. Please share (1/2)^HR,delivery,investigation,failed_support|missing_delivery|high_frustration,1,2
927585,340075,927584,@AmazonHelp As I was supposed to get the delivery for my phone on 18th October and I have still not received and now it is showing it will deliver on 21,"Customer: @115850 Worst service and unprofessional service
AmazonHelp: @340075 Apologies for any trouble. We'd like to help you. Could you please elaborate your concern so we could assist? ^RS
Customer: @AmazonHelp As I was supposed to get the delivery for my phone on 18th October and I have still not received and now it is showing it will deliver on 21",@340075 here:https://t.co/vlvfJr4nN9 &amp; we'll look into it right away. 2/2 ^EM,delivery,investigation,explicit_human_request|missing_delivery|high_frustration,3,3
568362,253352,568360,Ridiculously high number of @115821 orders not delivered on-time in the last couple of months. Very disappointing. And good luck trying to get assistance using trash chat service of theirs.,Customer: Ridiculously high number of @115821 orders not delivered on-time in the last couple of months. Very disappointing. And good luck trying to get assistance using trash chat service of theirs.,"@253352 This is not the experience we want our customers to have. Without giving any account/personal info, can you please give us some details on the issues you are facing? We are here to help! ^BA",delivery,privacy_restriction,explicit_human_request|missing_delivery|high_frustration,1,1
413031,213573,413033,"@AmazonHelp @213583 I have been locked out of my account since Nov 4 without any explanation. I have faxed in my id and verification. No follow up, I have called, never recieved a call back. This is the worst service I have ever experienced. Still no idea why my account is closed.","Customer: @AmazonHelp Your customer service is really embarrassing itself right now on the phone. Language barriers present comprehension problems. 1.5hrs on the phone
AmazonHelp: @213583 I'm sorry for the trouble! Can you tell us what's going on without sharing any personal or account specific information? We'd like to assist if possible. ^EZ
Customer: @AmazonHelp @213583 I have been locked out of my account since Nov 4 without any explanation. I have faxed in my id and verification. No follow up, I have called, never recieved a call back. This is the worst service I have ever experienced. Still no idea why my account is closed.",@213573 I'm so sorry to hear about ongoing trouble you're having with your account. Please provide additional details here: https://t.co/orah11zn17 and please use the Skip Login option. I'd like to make sure this is escalated so we can look into it further. ^CC,complaint,investigation,explicit_human_request|account_action|high_frustration,3,3
568361,253352,568363,"@AmazonHelp Furniture ordered &amp; still no indication it will ever be delivered, items sold &amp; then after delivery date told you don't have in stock, item delivery date comes &amp; goes &amp; then no communication delivery date pushed back a by a week. Long time Prime member and this is terrible.","Customer: Ridiculously high number of @115821 orders not delivered on-time in the last couple of months. Very disappointing. And good luck trying to get assistance using trash chat service of theirs.
AmazonHelp: @253352 This is not the experience we want our customers to have. Without giving any account/personal info, can you please give us some details on the issues you are facing? We are here to help! ^BA
Customer: @AmazonHelp Furniture ordered &amp; still no indication it will ever be delivered, items sold &amp; then after delivery date told you don't have in stock, item delivery date comes &amp; goes &amp; then no communication delivery date pushed back a by a week. Long time Prime member and this is terrible.","@253352 Can you please confirm the carriers for us? Also, what is the latest update on the tracking? ^BA",delivery,other,explicit_human_request|missing_delivery|high_frustration,3,3
477662,228477,477664,@AmazonHelp You gave me 3 reasons for the delay. But all of them different and all because I called and asked why it hasn't been dispatched. Also you have now taken money from me for a item I haven't received. Great.,"Customer: @AmazonHelp Ordered a phone 7 days ago. Only found out today it won't arrive today. Been calling for 3 days and heard 3 different reasons. Also promised a delivery today from a CS rep called Lou. Very disappointed and angry.
AmazonHelp: @228477 Thanks for that information. When you spoke with us, what did we advise as the reason for the delay? ^RB
Customer: @AmazonHelp You gave me 3 reasons for the delay. But all of them different and all because I called and asked why it hasn't been dispatched. Also you have now taken money from me for a item I haven't received. Great.",@228477 I'd like to have a specialist from my team look in to this with you. Please send us your info here and we'll investigate. https://t.co/nw1ZJmPA90 ^MW,delivery,investigation,explicit_human_request|missing_delivery|high_frustration,3,3
1033050,216200,1033048,@118919 Worst service after waiting 20 days parcel not delivered. Customer agent are very rude#Unhappy,Customer: @118919 Worst service after waiting 20 days parcel not delivered. Customer agent are very rude#Unhappy,@216200 Sorry about that. May I know if you have filled in the details from the link provided earlier? ^BS,delivery,other,explicit_human_request|missing_delivery|high_frustration,1,0
524886,241389,524885,@AmazonHelp terrible back and forth and no one is solving my issue!!!!I am tired,"Customer: i am so tired being on the phone with @AmazonHelp customer care!!!!y'all useless and not helpful at all
AmazonHelp: @241389 I'm sorry to see this! Without sharing any order or account details, will you tell us about what happened? We want to help! ^DW
Customer: @AmazonHelp terrible back and forth and no one is solving my issue!!!!I am tired",@241389 Can you tell us more about the original issue you contacted us about? Just be sure not to post any personal details as our pages are public. - Erin P.,complaint,privacy_restriction,explicit_human_request|failed_support|high_frustration,3,3
546460,247065,546458,@AmazonHelp I've tried 6 times but it doesn't help me get my orders from your dishonest drivers,"Customer: My local @115830 logistics delivery drivers are absolute cowboys and living large with ANOTHER stolen parcel. Why do I pay for this ""service""
AmazonHelp: @247065 I'm sorry you haven't received your parcel. Please reach out to us via phone or chat so we can explore some options with you: https://t.co/JzP7hlA23B ^JF
Customer: @AmazonHelp I've tried 6 times but it doesn't help me get my orders from your dishonest drivers","@247065 When you had contacted us, what did we advise? Did we ask you to wait longer in case it arrives later or discuss refund/replacement options? ^MG",delivery,refund_replacement,explicit_human_request|failed_support|missing_delivery,3,3
