customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
1071122,358424,1071124,@AmazonHelp This helped! Thanks!,"Customer: My Amazon Firestick won't load the home screen and I have tried everything. Love my life. 🙃🙃🙃
AmazonHelp: @358424 We'd like to help, if we may! Have you tried all of these steps: https://t.co/FNNUxQO9cm to fix it? Let us know! ^JE
Customer: @AmazonHelp This helped! Thanks!","@358424 Excellent news! 😁 Really, I'm glad to hear I was able to assist! We'll always here for you if you need us! ^JE",information,acknowledgement,failed_support,3,5
527155,242012,527156,@AmazonHelp yes 3 times....,"Customer: @AmazonHelp https://t.co/Xgr0HmMPi3
AmazonHelp: @242012 Have you used the 'Contact Seller' option provided within your order details? For more information, please refer to the following: https://t.co/Uzys6m2vUQ ^WM
Customer: @AmazonHelp yes 3 times....","@242012 Did they provide any information for the order? You can check for responses in your message center: https://t.co/7b7HXsDsDs. If they haven't responded within 48 hours of your message, you can file an A-to-z Guarantee: https://t.co/S237qXfrkp ^KB",information,information,,3,5
382738,206717,382739,@AmazonHelp Did that yesterday...,"Customer: @AmazonHelp Hi still nothing from @115850 . Why are you being #paapkidukaan?☹️
AmazonHelp: @206717 I get your disappointment. Could you please confirm, submitting your details using the link shared earlier? ^MP
Customer: @AmazonHelp Did that yesterday...","@206717 As you've shared your details in the link, we'll check and get back to you with an update. ^MK",information,other,,3,5
1073734,371737,1073735,@AmazonHelp Yes,"Customer: @AmazonHelp Today a representative came to pick up consignment and ran away without taking it back. Its disgusting ... it looks we are cheated ...
AmazonHelp: @371737 Could you please confirm if you've provided the details in the link provided above ? ^SU
Customer: @AmazonHelp Yes","@371737 Thank you for confirming Rohit, our team will get back to you at the earliest. ^MD",information,acknowledgement,,3,5
1076366,373978,1076367,@AmazonHelp Yes,"Customer: @AmazonHelp @115851 Dear Sir, need your intervention as I am chasing Amazon.in from last 13 days but they are unable to provide any resolution. ☹️
AmazonHelp: @373978 Sorry about the stretch, Sanchit. Could you please confirm if you've shared the details in the link (1/2) ^MO
Customer: @AmazonHelp Yes","@373978 If you have shared your details with us, you can find our correspondence here : https://t.co/DTSNmGldJf . Hope this helps. ^CB",information,information,,3,5
1085469,376053,1085472,@AmazonHelp it has not*,"Customer: clock’s tickin’ @115821 https://t.co/dkZ1hx6lPT
AmazonHelp: @376053 Thanks for reaching out. Please let us know if the order does not arrive by the time stated. ^GG
Customer: @AmazonHelp it has not*",@376053 I'm so sorry for the delay! Can you tell us who the carrier is listed here: https://t.co/Y5jpI9gRhE? ^AG,information,other,,3,5
381969,206573,381970,@AmazonHelp Yes,"Customer: @AmazonHelp I don't care about what you think about it, I care about the whereabouts of my order
AmazonHelp: @206573 Did you drop in your details through the secure link above? ^NS
Customer: @AmazonHelp Yes",@206573 Thanks. We'll check and revert at the earliest. ^HK,information,acknowledgement,,3,5
1099280,378251,1099281,@AmazonHelp Ok,"Customer: @AmazonHelp Till when my problem will resolve.
AmazonHelp: @378251 I just checked and we've received your details, please allow us some time and we'll reach out to you. ^KA
Customer: @AmazonHelp Ok",@378251 Thank you for understanding. ^AP,information,acknowledgement,,3,5
1100963,379755,1100965,@AmazonHelp Here you go https://t.co/jH1jOWeSx1,"Customer: @115850 Trying to order a mobile in the app. But the item is not deliverable to pincode 586203. Emailed your team and not satisfied.
AmazonHelp: @379755 Sorry for any disappointment, could you tell me what was the update shared with you ? ^HT
Customer: @AmazonHelp Here you go https://t.co/jH1jOWeSx1",@379755 address (family and friends). I'll be sure to forward your feedback to the concerned team internally. 3/3^AP,information,information,,3,5
1100963,379755,1100966,@AmazonHelp Here you go https://t.co/jH1jOWeSx1,"Customer: @115850 Trying to order a mobile in the app. But the item is not deliverable to pincode 586203. Emailed your team and not satisfied.
AmazonHelp: @379755 Sorry for any disappointment, could you tell me what was the update shared with you ? ^HT
Customer: @AmazonHelp Here you go https://t.co/jH1jOWeSx1",@379755 some products to certain pin-codes. I'd request you to try placing the order to a different 2/3^AP,information,other,,3,5
