customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
1477971,1477970,463189,"@AmazonHelp sending for sister. Ongoing login prob. Sign in insists passwd incorrect. Reset password, same response. Unable to log in.","@463189 Sorry for the trouble your sister's experienced! Please have her reach us here: https://t.co/jzvkhdlrK5, to look into this. ^JM","Customer: @AmazonHelp sending for sister. Ongoing login prob. Sign in insists passwd incorrect. Reset password, same response. Unable to log in.",1,Thu Nov 02 23:19:22 +0000 2017,Thu Nov 02 23:29:00 +0000 2017,account_access,15,0,15,login; log in; sign in; password; reset password; login; log in; sign in; password; reset password,self_service,['reset'],,False,0,[],False,sending for sister ongoing login prob sign in insists passwd incorrect reset password same response unable to log in
2548097,2548095,724098,"@AmazonHelp can't sign into account.Changed password 5 times,every time I'm told incorrect password.can't access contact page w/o signing in","@724098 My apologies. Which Amazon site do you use? https://t.co/nUUp5MLhYl, .co.uk, .de etc. ^DC","Customer: @AmazonHelp can't sign into account.Changed password 5 times,every time I'm told incorrect password.can't access contact page w/o signing in",1,Mon Oct 30 13:22:02 +0000 2017,Mon Oct 30 13:33:00 +0000 2017,account_access,15,0,15,account; sign in; signin; password; can't access; account; sign in; signin; password; can't access,unknown,[],,False,0,[],False,can't sign into account changed password 5 times every time i'm told incorrect password can't access contact page w o signing in
608107,608109,264535,"@AmazonHelp I did not, besides those for password reset and verification codes. Still can't access my account.",@264535 Sorry to hear about the account issues you've been having. Can I ask which Amazon site you are attempting to access (.com / .co.uk / .es / etc)?^TI,"Customer: @AmazonHelp Can't log into my Amazon account. Keeps saying password is incorrect even after changing it, or using a verification code. I've tried clearing browser cache/cookie data on all my devices and it still won't let me in. It was after making a purchase last night.
AmazonHelp: @264535 Hey, did you get any emails from us about your account? Please check your spam/junk mail as well. ^MA
Customer: @AmazonHelp I did not, besides those for password reset and verification codes. Still can't access my account.",3,Wed Nov 22 12:20:36 +0000 2017,Wed Nov 22 12:30:00 +0000 2017,account_access,13,1,12,account; password; can't access; verification; account; log in; password; can't access; verification,self_service,['reset'],contextual_failed_support,True,2,['deictic_reference'],False,i did not besides those for password reset and verification codes still can't access my account
2690666,2690668,756420,@AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed,@756420 I'm sorry to hear that! We would like to assist with this in real-time. Can you please use the following link to get in touch with us? https://t.co/zYVX1Qi29G. ^DY,"Customer: @AmazonHelp hi my mum cannot login to her account. We have spoken to customer services and sent an email. We have reset the password and still can’t login. I see others are having this issues. Please advise. This has been going on for three days!
AmazonHelp: @756420 I'm sorry for any aggravation! Has your mother received any e-mails back from Amazon regarding the account? ^DD
Customer: @AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed",3,Sun Nov 19 16:27:28 +0000 2017,Sun Nov 19 16:40:00 +0000 2017,account_access,13,1,12,account; sign in; password; verification; account; login; sign in; password; verification,self_service,['reset'],contextual_failed_support,True,2,['deictic_reference'],False,yes to reset the password we have reset the account after waiting 5 hours we have had the verification code sent and changed it but it s still not letting us sign in with the new or old password it started because we had an email saying the email address has been changed
379891,379890,206121,@AmazonHelp been locked out of my account for ages. Reset password but won't recognise it. Very annoying,@206121 Sorry to hear Grace- Which website is your acc with? https://t.co/nUUp5MLhYl https://t.co/ykTUEmdsQA or? ^NV,Customer: @AmazonHelp been locked out of my account for ages. Reset password but won't recognise it. Very annoying,1,Mon Oct 09 07:47:31 +0000 2017,Mon Oct 09 07:49:35 +0000 2017,account_access,12,0,12,account; password; reset password; locked out; account; password; reset password; locked out,self_service,['reset'],,False,2,['deictic_reference'],False,been locked out of my account for ages reset password but won't recognise it very annoying
608108,608106,264535,"@AmazonHelp Can't log into my Amazon account. Keeps saying password is incorrect even after changing it, or using a verification code. I've tried clearing browser cache/cookie data on all my devices and it still won't let me in. It was after making a purchase last night.","@264535 Hey, did you get any emails from us about your account? Please check your spam/junk mail as well. ^MA","Customer: Seeing if I can contact Amazon through Twitter, if not then it's the all-or-nothing call Hopefully my carrier won't charge me much for it
AmazonHelp: @264535 We'd like to address your concerns. Without providing any personal or account information, can you tell us more about any issues you're having?^CN
Customer: @AmazonHelp Can't log into my Amazon account. Keeps saying password is incorrect even after changing it, or using a verification code. I've tried clearing browser cache/cookie data on all my devices and it still won't let me in. It was after making a purchase last night.",3,Wed Nov 22 12:05:09 +0000 2017,Wed Nov 22 12:16:26 +0000 2017,account_access,12,3,9,account; log in; password; verification; account; log in; password; verification,phone_chat,['call'],account_action;contextual_failed_support,True,2,['deictic_reference'],False,can't log into my amazon account keeps saying password is incorrect even after changing it or using a verification code i've tried clearing browser cache cookie data on all my devices and it still won't let me in it was after making a purchase last night
1560604,1560603,482167,"@115830 hi what's up with your site. Can't log in, can't reset password, created a new account that does not exist. Help please.","@482167 Hello, can you try using a different browser? Let us know if the problem is still occurring. ^CR","Customer: @115830 hi what's up with your site. Can't log in, can't reset password, created a new account that does not exist. Help please.",1,Sat Nov 04 08:41:46 +0000 2017,Sat Nov 04 08:52:00 +0000 2017,account_access,12,0,12,account; log in; password; reset password; account; log in; password; reset password,self_service,['reset'],account_action,True,2,['deictic_reference'],False,hi what's up with your site can't log in can't reset password created a new account that does not exist help please
1722475,1722476,521154,"@AmazonHelp Yes, have also 'reset password' option on that form and had no email. I get the email using the 'forgot password' on the main website, but after resetting the password, the account still doesn't work.",@521154 I'm sorry for the difficulty. We'd like to look into this with you. Please call us here: https://t.co/zYVX1Qi29G ^MH,"Customer: @AmazonHelp I sent an email via that form over 24 hours ago. Is this delay normal?
AmazonHelp: @521154 They are usually answered within 12 hours. Have you checked your spam and junk folders to ensure it wasn't sent to them? ^TH
Customer: @AmazonHelp Yes, have also 'reset password' option on that form and had no email. I get the email using the 'forgot password' on the main website, but after resetting the password, the account still doesn't work.",3,Wed Nov 08 14:37:31 +0000 2017,Wed Nov 08 15:02:31 +0000 2017,account_access,12,3,9,account; password; forgot password; reset password; account; password; forgot password; reset password,self_service,['reset'],failed_support;contextual_failed_support,True,2,['deictic_reference'],False,yes have also 'reset password' option on that form and had no email i get the email using the 'forgot password' on the main website but after resetting the password the account still doesn't work
2252915,2252914,569125,"Lovely bug trying to log into a different account on @115821 in Safari.... entering the different email address, and when I try and login it says password is incorrect for the *OLD* email address (Which was autofilled by safari &amp; replaced by me)!","@569125 Sorry you hare having login issues, SImon! Have you tried clearing your cache and cookies and/or possibly using a different web browser? ^DJ","Customer: Lovely bug trying to log into a different account on @115821 in Safari.... entering the different email address, and when I try and login it says password is incorrect for the *OLD* email address (Which was autofilled by safari &amp; replaced by me)!",1,Fri Nov 10 20:04:05 +0000 2017,Fri Nov 10 21:07:33 +0000 2017,account_access,12,0,12,account; login; log in; password; account; login; log in; password,refund_replacement,['replace'],,False,2,['deictic_reference'],False,lovely bug trying to log into a different account on in safari entering the different email address and when i try and login it says password is incorrect for the old email address which was autofilled by safari amp replaced by me
2481767,2481765,120919,@AmazonHelp why after 6 changed passwords can I still not sign in to my account? I'm stuck in a reset password loop.,@120919 Please reach us by chat or phone for direct assistance via our Contact Us page here: https://t.co/4pv08ovbJy ^SE,Customer: @AmazonHelp why after 6 changed passwords can I still not sign in to my account? I'm stuck in a reset password loop.,1,Sun Oct 29 22:05:10 +0000 2017,Sun Oct 29 22:49:00 +0000 2017,account_access,12,3,9,account; sign in; password; reset password; account; sign in; password; reset password,self_service,['reset'],,False,2,['deictic_reference'],False,why after 6 changed passwords can i still not sign in to my account i'm stuck in a reset password loop
2522300,2522301,718360,"@AmazonHelp They haven't provided that information. They say to change the password for one of my accounts (I have attempted to and still cannot sign-in), and ignore my inability to not login to my other account.",@718360 The Account Specialists are in the best position to assist you. Please reply directly back to their e-mail to let hem know about the error you are encountering. ^KB,"Customer: @AmazonHelp The emails are signed ""Account Specialist"" so I assume so, but they're exact duplicates of each other.
AmazonHelp: @718360 In the e-mail, our Account Specialists will let you know what's needed to re-open your account. Are they providing that information and have you been able to send it to us? ^AM
Customer: @AmazonHelp They haven't provided that information. They say to change the password for one of my accounts (I have attempted to and still cannot sign-in), and ignore my inability to not login to my other account.",3,Sun Nov 19 02:51:02 +0000 2017,Sun Nov 19 02:58:29 +0000 2017,account_access,12,3,9,account; login; sign in; password; account; login; sign in; password,information,['information'],contextual_failed_support,True,2,['deictic_reference'],False,they haven't provided that information they say to change the password for one of my accounts i have attempted to and still cannot sign in and ignore my inability to not login to my other account
142942,142941,148062,@AmazonHelp I can't access my account and the 'reset password' emails aren't being delivered to me. Help?!?,"@148062 Hi Tony, sorry to hear this. Can you contact us so that we can look into this for you: https://t.co/oGDklGgbCZ?^PJ",Customer: @AmazonHelp I can't access my account and the 'reset password' emails aren't being delivered to me. Help?!?,1,Fri Nov 24 12:44:39 +0000 2017,Fri Nov 24 12:53:00 +0000 2017,account_access,12,0,12,account; password; reset password; can't access; account; password; reset password; can't access,self_service,['reset'],,False,0,[],False,i can't access my account and the 'reset password' emails aren't being delivered to me help
152062,152061,150747,@115830 Help - can't access my account and verification codes are not coming through to my email. no phone numbers anyway and contact on site only possible through log in,@150747 We'd like to help! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this with you. ^ZW,Customer: @115830 Help - can't access my account and verification codes are not coming through to my email. no phone numbers anyway and contact on site only possible through log in,1,Fri Nov 24 16:00:07 +0000 2017,Fri Nov 24 16:03:32 +0000 2017,account_access,12,0,12,account; log in; can't access; verification; account; log in; can't access; verification,phone_chat,['phone'],,False,0,[],False,help can't access my account and verification codes are not coming through to my email no phone numbers anyway and contact on site only possible through log in
429019,429018,217030,@115830 My login email and password have been changed without my consent and i can't log into my account to change. Please help urgently!,@217030 Terribly sorry about your account! Let's take a closer look into this with you here: https://t.co/HYStFASZSH ^JZ,Customer: @115830 My login email and password have been changed without my consent and i can't log into my account to change. Please help urgently!,1,Tue Oct 10 14:01:20 +0000 2017,Tue Oct 10 14:10:09 +0000 2017,account_access,12,0,12,account; login; log in; password; account; login; log in; password,unknown,[],account_action,True,0,[],False,my login email and password have been changed without my consent and i can't log into my account to change please help urgently
882506,882504,329555,@AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.,@329555 I'm sorry for the account trouble! Have you received any e-mails from our Account Specialists? Check spam/junk folders too. ^MB,Customer: @AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.,1,Fri Oct 20 19:48:15 +0000 2017,Fri Oct 20 19:54:35 +0000 2017,account_access,12,3,9,account; login; can't access; locked out; account; login; can't access; locked out,phone_chat,['customer service'],,False,0,[],False,have been locked out of my account without being notified can't access customer service as i need to login
1098628,1098626,379245,@AmazonHelp hey need u r help. Iam unable to login to my account. Forgot password is asking Gmail I'd which I don't know.i know mobile no.,"@379245 Hi, please visit this link: https://t.co/gKgl60xuqk and proceed further with resetting your password. ^ZH",Customer: @AmazonHelp hey need u r help. Iam unable to login to my account. Forgot password is asking Gmail I'd which I don't know.i know mobile no.,1,Sun Oct 15 05:56:33 +0000 2017,Sun Oct 15 06:24:24 +0000 2017,account_access,12,0,12,account; login; password; forgot password; account; login; password; forgot password,unknown,[],,False,0,[],False,hey need u r help iam unable to login to my account forgot password is asking gmail i'd which i don't know i know mobile no
