customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score,gold_intent,gold_action,gold_handling,gold_reason,gold_evidence_sufficient
1151747,374857,1151746,@AmazonHelp No both are different.,"Customer: @AmazonHelp I was facing this issue on my old phone and now on my new phone too...
AmazonHelp: @374857 Could you confirm if both the devices belong to same manufacturer? ^HD
Customer: @AmazonHelp No both are different.",@374857 Could you please confirm the devices you are using? ^SS,product,other,explicit_human_request,3,4,,,,,
2562069,727111,2562071,@AmazonHelp Thanks I sent an email. I hit cancel order right after I did it but I still got an email about my order and it’s not showing up in my cancelled orders 😱😱,"Customer: i accidentally just purchased 38 dollars worth of kindle books and i really hope i can cancel that @115821
AmazonHelp: @727111 Oh my! Let us know if you have any troubles when canceling the orders. You may also reach out to us in real time here: https://t.co/hApLpMlfHN. ^AL
Customer: @AmazonHelp Thanks I sent an email. I hit cancel order right after I did it but I still got an email about my order and it’s not showing up in my cancelled orders 😱😱","@727111 Are any of these kindle books still in Content and Devices: https://t.co/1EXCM9kB9j? When you cancel/refund, they should be removed from your account. ^SJ",cancellation,refund_replacement,,3,3,,,,,
546333,247040,546332,@115825 Please translate your Android app to English. Not all your clients in Germany are that comfortable with German.,Customer: @115825 Please translate your Android app to English. Not all your clients in Germany are that comfortable with German.,@247040 Thank you for your feedback! I will forward it to the responsible department. :) ^SI,information,information,,1,2,,,,,
528314,242137,528315,@AmazonHelp No,"Customer: Ordered a case and screen protector for my new phone on Wednesday and now it won’t be here until Monday 🙂 wtf @115821 it’s 2 day shipping not 5 dayyyyyy
AmazonHelp: @242137 Hi I am sorry to hear about the delay, were you emailed an explanation as to why it was? ^HS
Customer: @AmazonHelp No",@242137 We'd like to get some additional details from the carrier and look into available options with you! Please reach us directly via phone or chat here: https://t.co/hApLpMlfHN ^CS,shipping,phone_chat,explicit_human_request|high_frustration,3,5,,,,,
844136,320694,844137,@AmazonHelp The agent was not helpful. Any way you can get additional help? It seems my account was shutdown but for a reason beyond my control.,"Customer: @AmazonHelp Hi. It is not letting me login to see where the link takes me.
AmazonHelp: @320694 Sorry about that, Meir! Please use this link instead: https://t.co/jzvkhdlrK5 ^AB
Customer: @AmazonHelp The agent was not helpful. Any way you can get additional help? It seems my account was shutdown but for a reason beyond my control.",@320694 I'm sorry to hear this! What information or resources did the agent you spoke with provide? ^MW,account,information,explicit_human_request|failed_support,3,3,,,,,
2278696,368030,2278698,@AmazonHelp My I'd has been blocked by you. I'm unable to login into my account and you expect me to chat with you? Even more haven't received any mail from you.,"Customer: @115850 More than 48 hours but still yet no response from Investigation team for my blocked I'd. Useless customer service. Thanks for stealing money from my account.
AmazonHelp: @368030 I understand your concern. However, Twitter being a social media platform we wouldn't be able to access your account. Please reply to the email you received from the specialist team for assistance. ^BV
Customer: @AmazonHelp My I'd has been blocked by you. I'm unable to login into my account and you expect me to chat with you? Even more haven't received any mail from you.","@368030 On any instance if an Amazon account is put on hold, specialty team sends you an e-mail on your registered id. We would request you to check with the same. ^RI",complaint,other,explicit_human_request|missing_delivery|high_frustration,3,1,,,,,
1553780,480662,1553782,"@AmazonHelp i already mentioned my no , call me","Customer: @AmazonHelp your call does recieve yet.. it seems u are not intrested to solve our problems
AmazonHelp: @480662 Kindly write back to it requesting for a call back and we'll get in touch with you. 2/2 ^HS
Customer: @AmazonHelp i already mentioned my no , call me","@480662 Twitter being a public platform, we do not have access to reach you from here. You may request a (1/2)^OS",complaint,information,explicit_human_request,3,3,,,,,
2611565,738465,2611567,"@AmazonHelp Naw she was a wee bit useless, she parroted the same things the previous staff members said, ""it's in the advance shipped step"" or something similar. I just want to know when it's coming.","Customer: @AmazonHelp Naw, they just said the fulfillment center has a system issue, but that doesnt help me at all
AmazonHelp: @738465 Did the agent Odwa advise when this item would be shipped out and delivered? ^SA
Customer: @AmazonHelp Naw she was a wee bit useless, she parroted the same things the previous staff members said, ""it's in the advance shipped step"" or something similar. I just want to know when it's coming.","@738465 Can I ask what is the estimated delivery date showing on the tracking at the moment please, you can find this info here: https://t.co/aaDyEz1VgE. ^GA",shipping,information,explicit_human_request|failed_support|high_frustration,3,3,,,,,
1404809,446603,1404811,"@AmazonHelp ^TRIED. Restarting device,stick,signed out &amp; back in, tried downloading phone app. Tried everything","Customer: Drinks chilled🍸food out 🌭friends over 👯 &amp; the bloody @116439 remote wont connect AGAIN 😡😡 ru not 😳to make sthing so crap??😡ruined eve👍
AmazonHelp: @446603 I'm so sorry. Have you tried restarting your device? ^DO
Customer: @AmazonHelp ^TRIED. Restarting device,stick,signed out &amp; back in, tried downloading phone app. Tried everything",@446603 So sorry for the frustrations! Please reach out to us here: https://t.co/JzP7hlA23B so we can troubleshoot with you. ^AD,product,self_service,explicit_human_request|failed_support,3,1,,,,,
784381,307196,784382,@115850 I was defrauded in my order number #404-5541471-9760348 ACTION EXPECTED FROM @115821,Customer: @115850 I was defrauded in my order number #404-5541471-9760348 ACTION EXPECTED FROM @115821,@307196 Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you. ^GS,order,other,,1,0,,,,,
