customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
689512,689511,284762,@115821 I m trying to cancel this order as it was placed by my friend accidentally while checking out the overall total but the page doesn't load while clicking on cancel order.. Can u please help.. I don't want anything right now.. Can you please do it ASAP. https://t.co/HSn159UOFj,"@284762 Hey Jordan, have you tried canceling it via desktop version of our website (using the computer rather than the app)?^MA",Customer: @115821 I m trying to cancel this order as it was placed by my friend accidentally while checking out the overall total but the page doesn't load while clicking on cancel order.. Can u please help.. I don't want anything right now.. Can you please do it ASAP. https://t.co/HSn159UOFj,1,Sat Nov 25 07:42:51 +0000 2017,Sat Nov 25 07:47:27 +0000 2017,order_change_cancel,6,0,6,cancel order; cancel this order; cancel order; cancel this order,unknown,[],,False,2,['deictic_reference'],True,i m trying to cancel this order as it was placed by my friend accidentally while checking out the overall total but the page doesn't load while clicking on cancel order can u please help i don't want anything right now can you please do it asap
972507,972506,152568,"Dear @115821, if you listen and/or care, when you cancel my order, at least have the courtesy of showing it under “Cancelled Orders”. 😡","@152568 I'm very sorry for this experience. Which Amazon site was this order placed on:.com, co.uk, or a different one? ^DO","Customer: Dear @115821, if you listen and/or care, when you cancel my order, at least have the courtesy of showing it under “Cancelled Orders”. 😡",1,Sun Oct 22 08:51:44 +0000 2017,Sun Oct 22 08:59:00 +0000 2017,order_change_cancel,6,0,6,cancel my order; cancelled order; cancel my order; cancelled order,unknown,[],,False,2,['deictic_reference'],True,dear if you listen and or care when you cancel my order at least have the courtesy of showing it under cancelled orders
2562069,2562071,727111,@AmazonHelp Thanks I sent an email. I hit cancel order right after I did it but I still got an email about my order and it’s not showing up in my cancelled orders 😱😱,"@727111 Are any of these kindle books still in Content and Devices: https://t.co/1EXCM9kB9j? When you cancel/refund, they should be removed from your account. ^SJ","Customer: i accidentally just purchased 38 dollars worth of kindle books and i really hope i can cancel that @115821
AmazonHelp: @727111 Oh my! Let us know if you have any troubles when canceling the orders. You may also reach out to us in real time here: https://t.co/hApLpMlfHN. ^AL
Customer: @AmazonHelp Thanks I sent an email. I hit cancel order right after I did it but I still got an email about my order and it’s not showing up in my cancelled orders 😱😱",3,Thu Nov 16 18:08:33 +0000 2017,Thu Nov 16 18:15:00 +0000 2017,order_change_cancel,6,1,5,cancel order; cancelled order; cancel order; cancelled order,unknown,[],,False,2,['deictic_reference'],True,thanks i sent an email i hit cancel order right after i did it but i still got an email about my order and it s not showing up in my cancelled orders
2728896,2728895,765125,hey @AmazonHelp please cancel this order a arrange a refund ordered by mistake Order# 402-4493125-6163507,"@765125 Please reach out to our support team here: https://t.co/vlvfJr4nN9 for assistance, Sreekanth. They will check and help you. Also, please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK",Customer: hey @AmazonHelp please cancel this order a arrange a refund ordered by mistake Order# 402-4493125-6163507,1,Mon Nov 20 14:37:56 +0000 2017,Mon Nov 20 14:51:21 +0000 2017,order_change_cancel,6,3,3,cancel this order; ordered by mistake; cancel this order; ordered by mistake,refund_replacement,['refund'],,False,2,['deictic_reference'],True,hey please cancel this order a arrange a refund ordered by mistake order 402 4493125 6163507
2925558,2925557,125400,"@AmazonHelp cancelled order for water purifiers, but cant cancel order for warranty that was purchased along with purifier. Urgent",@125400 We've already responded to your concern here: https://t.co/07NHD24pHP. ^SF,"Customer: @AmazonHelp cancelled order for water purifiers, but cant cancel order for warranty that was purchased along with purifier. Urgent",1,Wed Nov 29 03:20:07 +0000 2017,Wed Nov 29 03:26:00 +0000 2017,order_change_cancel,6,0,6,cancel order; cancelled order; cancel order; cancelled order,unknown,[],,False,2,['deictic_reference'],True,cancelled order for water purifiers but cant cancel order for warranty that was purchased along with purifier urgent
2925573,2925572,125400,"@115850 cancelled order for water purifier, but cant cancel order for extended warranty that was purchased for that water purifier.",@125400 Please contact our support team here: https://t.co/vlvfJr4nN9 and we'll assist you regarding your concern with the extended warranty of the water purifier. ^SF,"Customer: @115850 cancelled order for water purifier, but cant cancel order for extended warranty that was purchased for that water purifier.",1,Wed Nov 29 03:19:05 +0000 2017,Wed Nov 29 03:22:00 +0000 2017,order_change_cancel,6,0,6,cancel order; cancelled order; cancel order; cancelled order,unknown,[],,False,2,['deictic_reference'],True,cancelled order for water purifier but cant cancel order for extended warranty that was purchased for that water purifier
1349219,1349218,434630,@115850 i have recently cancelled my order in amazon 2 days back due to shipping address issue.didn’t refunded money/didn’t got message.,@434630 Please don't worry. It can take up to 5 business days for the funds to reflect in your account after cancellation. ^HA,Customer: @115850 i have recently cancelled my order in amazon 2 days back due to shipping address issue.didn’t refunded money/didn’t got message.,1,Mon Oct 16 13:44:37 +0000 2017,Mon Oct 16 14:05:00 +0000 2017,order_change_cancel,6,3,3,shipping address; cancelled my order; shipping address; cancelled my order,refund_replacement,['refund'],,False,0,[],False,i have recently cancelled my order in amazon 2 days back due to shipping address issue didn t refunded money didn t got message
1653470,1653468,283699,@228164 @115850 @AmazonHelp I want to cancel my order which I placed by mistake. I am not finding cancel order icon. Help ASAP! https://t.co/DUqMTPjjOm,"@283699 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^AK 2/2",Customer: @228164 @115850 @AmazonHelp I want to cancel my order which I placed by mistake. I am not finding cancel order icon. Help ASAP! https://t.co/DUqMTPjjOm,1,Mon Nov 06 07:32:18 +0000 2017,Mon Nov 06 08:03:52 +0000 2017,order_change_cancel,6,0,6,cancel my order; cancel order; cancel my order; cancel order,unknown,[],,False,0,[],False,i want to cancel my order which i placed by mistake i am not finding cancel order icon help asap
314379,314381,191053,"@AmazonHelp @119356 @115821 Dear Amazon, Since you have failed to keep your commitment, I have decided to CANCEL this particular order which was supposed 2 be delivered on 24 Nov17.Apart from this, I have cancelled all orders in transit. Hope I'll get refund for all these cancelled orders.",@191053 I'm sorry for the experience you've had. We never intended this inconvenience. Kindly share your details here: https://t.co/GIJyeYqKE0 so that we can assist you in a better way. ^GD,"Customer: @119356 @115851 @115821 @AmazonHelp Mr Bezos, C d wrk㏌g of Amz IN.They don't th㏌k necsary even 2 acknwledge/reply Prime customer's complaints.So arrogance 4 a serⅵce proⅵder com. is NOT good.I'm go㏌g 2 CANCEL my order 405-3403223-0443514Commitment mea㎱ commitment !No Excuse Pʪ.
AmazonHelp: @191053 We understand you are yet to receive your order. Let us work on this right away. Kindly reach us via https://t.co/CNHA4voaWH and we'll check this out for you. (1/2) ^VM
Customer: @AmazonHelp @119356 @115821 Dear Amazon, Since you have failed to keep your commitment, I have decided to CANCEL this particular order which was supposed 2 be delivered on 24 Nov17.Apart from this, I have cancelled all orders in transit. Hope I'll get refund for all these cancelled orders.",3,Sun Nov 26 16:22:20 +0000 2017,Sun Nov 26 17:03:26 +0000 2017,order_change_cancel,4,3,1,cancelled order; cancel my order; cancelled order,refund_replacement,['refund'],,False,4,"['deictic_reference', 'competing_intents']",True,dear amazon since you have failed to keep your commitment i have decided to cancel this particular order which was supposed 2 be delivered on 24 nov17 apart from this i have cancelled all orders in transit hope i'll get refund for all these cancelled orders
994300,994302,355525,@AmazonHelp I have cancelled order after many calls to customer service. Now only help u can provide is see that I get my refund without delay.,@355525 I'm sorry about the hassle Prakash. Kindly submit your details using the link mentioned above for further assistance. ^GD,"Customer: @115850 paid 100extra for urgent delivery but after 6 days still undelivered. Had to cancel order. Hope get the refund timely.
AmazonHelp: @355525 I'm sorry about the trouble with your order. We’d like to help, please share your details here: https://t.co/beaaDm0muc ^VR
Customer: @AmazonHelp I have cancelled order after many calls to customer service. Now only help u can provide is see that I get my refund without delay.",3,Sun Oct 22 16:27:15 +0000 2017,Sun Oct 22 16:45:00 +0000 2017,order_change_cancel,4,3,1,cancelled order; cancel order; cancelled order,phone_chat,"['call', 'customer service']",,False,4,"['deictic_reference', 'competing_intents']",True,i have cancelled order after many calls to customer service now only help u can provide is see that i get my refund without delay
