customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
2812157,2812156,117511,@AmazonHelp I have spoke to you from email I placed my order on the 17th of November and I have received 5 emails saying i need to revise my payment method but I have been charged for them and one item I have been charged twice,@117511 Reach us here: https://t.co/JzP7hlRCV9 so we can take a look at your orders for you.^CD,"Customer: @AmazonHelp can you help me I have received 4 emails saying I need to revise my payment method and when I do I’m being re charged for items I have contacted customer support but got no reply
AmazonHelp: @117511 Hi, can't see your account details on social media. Did you speak us by phone or did you send us an email? ^BZ
Customer: @AmazonHelp I have spoke to you from email I placed my order on the 17th of November and I have received 5 emails saying i need to revise my payment method but I have been charged for them and one item I have been charged twice",3,Wed Nov 22 08:39:57 +0000 2017,Wed Nov 22 08:41:26 +0000 2017,payment_billing,15,1,14,payment; charge; charged; charged twice; payment method; payment; charge; charged; charged twice; payment method,phone_chat,['phone'],,False,2,['deictic_reference'],True,i have spoke to you from email i placed my order on the 17th of november and i have received 5 emails saying i need to revise my payment method but i have been charged for them and one item i have been charged twice
74660,74659,132718,Amazon double charged me &amp;&amp; the payments have been pending for days which I need them to clear so they will either fall off or they can refund me,"@132718 Hi Alexandria, have you had a chance to contact us about this? If the charges are pending, they could be authorisations which would need to be cleared by your bank. You can find more information about bank authorisations here: https://t.co/MYxuFGI4by. ^PJ",Customer: Amazon double charged me &amp;&amp; the payments have been pending for days which I need them to clear so they will either fall off or they can refund me,1,Thu Nov 30 11:03:17 +0000 2017,Thu Nov 30 11:18:28 +0000 2017,payment_billing,12,3,9,payment; charge; charged; double charged; payment; charge; charged; double charged,refund_replacement,['refund'],,False,2,['deictic_reference'],True,amazon double charged me amp amp the payments have been pending for days which i need them to clear so they will either fall off or they can refund me
345653,345652,198255,My debit card was charged on amazon prime from Washington?? Like how does somebody all the way across the country get my info. This sucks,@198255 (2/2) You can learn more about canceling the membership here: https://t.co/tPWOFH0UhB ^KB,Customer: My debit card was charged on amazon prime from Washington?? Like how does somebody all the way across the country get my info. This sucks,1,Sun Oct 08 03:08:10 +0000 2017,Sun Oct 08 03:13:32 +0000 2017,payment_billing,12,0,12,charge; charged; debit card; card was charged; charge; charged; debit card; card was charged,unknown,[],,False,2,['deictic_reference'],True,my debit card was charged on amazon prime from washington like how does somebody all the way across the country get my info this sucks
377470,377469,205571,@AmazonHelp hello! my prime membership renewed automatically but it charged the wrong payment method. is it possible to get a refund/do over,@205571 Oh no! You're welcome to cancel your Prime membership here: https://t.co/D6n02iQnhw. Then update the payment and sign up! ^ST,Customer: @AmazonHelp hello! my prime membership renewed automatically but it charged the wrong payment method. is it possible to get a refund/do over,1,Mon Oct 09 03:22:34 +0000 2017,Mon Oct 09 04:10:27 +0000 2017,payment_billing,12,3,9,payment; charge; charged; payment method; payment; charge; charged; payment method,phone_chat,['call'],,False,2,['deictic_reference'],True,hello my prime membership renewed automatically but it charged the wrong payment method is it possible to get a refund do over
486700,486702,230814,"@AmazonHelp Ordered it last Tuesday, admittedly on standard post but an email was saying an issue with payment which I tried to fix and just wanted to know if it was dispatched and didn’t want to be charged twice.",@230814 Is it possible that you are seeing an authorisation on your statement: https://t.co/dMJGkVObyn? ^JJ,"Customer: Usually @115830 are amazing with service, however this order has been frustrating! Even called customer services and they weren’t much help.... just have to wait and see if it shows up
AmazonHelp: @230814 I'm sorry for the poor experience! Do you have a current order that is late or delayed that we can help you with? ^ZW
Customer: @AmazonHelp Ordered it last Tuesday, admittedly on standard post but an email was saying an issue with payment which I tried to fix and just wanted to know if it was dispatched and didn’t want to be charged twice.",3,Fri Dec 01 15:44:35 +0000 2017,Fri Dec 01 15:54:00 +0000 2017,payment_billing,12,1,11,payment; charge; charged; charged twice; payment; charge; charged; charged twice,phone_chat,"['call', 'customer service']",,False,2,['deictic_reference'],True,ordered it last tuesday admittedly on standard post but an email was saying an issue with payment which i tried to fix and just wanted to know if it was dispatched and didn t want to be charged twice
631613,631610,199862,"@AmazonHelp Just had the worst phone conversation with customer services. Just wanted to know why one card had been charged from prime instead of the one that is classed as preferred payment method; and how to verify student status. She couldn't give me a reason, didn't listen /1",@199862 Sorry to hear of the poor experience. If there is an issue with your preferred payment then we will use another payment card associated with your Amazon account. Here is info on verifying student status for Prime: https://t.co/2TmqycZ2s4 ^ES,"Customer: @AmazonHelp Just had the worst phone conversation with customer services. Just wanted to know why one card had been charged from prime instead of the one that is classed as preferred payment method; and how to verify student status. She couldn't give me a reason, didn't listen /1",1,Wed Nov 22 16:09:00 +0000 2017,Wed Nov 22 16:23:00 +0000 2017,payment_billing,12,3,9,payment; charge; charged; payment method; payment; charge; charged; payment method,phone_chat,"['phone', 'customer service']",high_frustration,True,2,['deictic_reference'],True,just had the worst phone conversation with customer services just wanted to know why one card had been charged from prime instead of the one that is classed as preferred payment method and how to verify student status she couldn't give me a reason didn't listen 1
1840751,1840750,551650,@115850 I got charged for changing my payment method from COD to Amazon pay. While it was mentioned zero cancellation.account: bnasthana https://t.co/b1NCg9DEPw,@551650 Sorry for the trouble you've had. Kindly escalate this to our support team here: https://t.co/2t6DQoUmNZ and they'll help you. ^MM,Customer: @115850 I got charged for changing my payment method from COD to Amazon pay. While it was mentioned zero cancellation.account: bnasthana https://t.co/b1NCg9DEPw,1,Wed Oct 18 06:18:48 +0000 2017,Wed Oct 18 06:36:26 +0000 2017,payment_billing,12,3,9,payment; charge; charged; payment method; payment; charge; charged; payment method,unknown,[],,False,2,['deictic_reference'],True,i got charged for changing my payment method from cod to amazon pay while it was mentioned zero cancellation account bnasthana
2141295,2141341,629675,@AmazonHelp no i went in there and it shows this Set up your billing method Your selling plan: Professional selling plan view plan details Total monthly subscription fee : $39.99 + additional selling fees. You will only be charged once you complete setting up your account.,"@629675 Thanks for that info! Please reach out to us in real-time, so we can look into this further: https://t.co/hApLpMlfHN^HM","Customer: @AmazonHelp I am trying to sell a few items on your site but it keeps trying to sell me a 39.99 a month plan like i am a business i just want the single individual plan
AmazonHelp: @629675 You can sign up as an individual seller here: https://t.co/3p6iDVml8L ^TN
Customer: @AmazonHelp no i went in there and it shows this Set up your billing method Your selling plan: Professional selling plan view plan details Total monthly subscription fee : $39.99 + additional selling fees. You will only be charged once you complete setting up your account.",3,Wed Nov 08 22:46:14 +0000 2017,Wed Nov 08 22:52:38 +0000 2017,payment_billing,12,3,9,charge; charged; billing; bill; charge; charged; billing; bill,information,['details'],,False,2,['deictic_reference'],True,no i went in there and it shows this set up your billing method your selling plan professional selling plan view plan details total monthly subscription fee 39 99 additional selling fees you will only be charged once you complete setting up your account
2707603,2707601,760370,"@AmazonHelp I placed an order at Amazon US but, almost 24 hours after that, I haven't been charged yet. Is something wrong with my payment method?",@760370 I'm sorry for the concern. We don't charge your card until your order has shipped. You'll be notified via e-mail is there are any issues processing the order. ^CL,"Customer: @AmazonHelp I placed an order at Amazon US but, almost 24 hours after that, I haven't been charged yet. Is something wrong with my payment method?",1,Mon Nov 20 00:13:51 +0000 2017,Mon Nov 20 00:18:00 +0000 2017,payment_billing,12,0,12,payment; charge; charged; payment method; payment; charge; charged; payment method,unknown,[],,False,2,['deictic_reference'],True,i placed an order at amazon us but almost 24 hours after that i haven't been charged yet is something wrong with my payment method
2713212,2713211,761695,"@AmazonHelp I am still being billed for an Amazon FreeTime Unlimited subscription I cancelled MONTHS ago. It doesn't show up on my Amazon account anymore even, but my credit card is still being charged every month.",@761695 I'm so sorry for the trouble with your FreeTime Unlimited subscription! Have you reached out to us to discuss this: https://t.co/hApLpMlfHN? We're unable to view account details via Twitter. ^ST,"Customer: @AmazonHelp I am still being billed for an Amazon FreeTime Unlimited subscription I cancelled MONTHS ago. It doesn't show up on my Amazon account anymore even, but my credit card is still being charged every month.",1,Mon Nov 20 03:25:53 +0000 2017,Mon Nov 20 03:30:09 +0000 2017,payment_billing,12,3,9,charge; charged; bill; credit card; charge; charged; bill; credit card,unknown,[],,False,2,['deictic_reference'],True,i am still being billed for an amazon freetime unlimited subscription i cancelled months ago it doesn't show up on my amazon account anymore even but my credit card is still being charged every month
