customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
179152,158239,179150,@AmazonHelp Got this mail.. https://t.co/xaaDLpMEmt,"Customer: @115850 @AmazonHelp May I know why? And plzz solve my matter ASAP 😢 https://t.co/mfMvgMTw6F
AmazonHelp: @158239 If an account is put on hold, a correspondence is sent to the registered email id. Please check the same for more info. ^ZH
Customer: @AmazonHelp Got this mail.. https://t.co/xaaDLpMEmt","@158239 Seems like an account verification issue, please reply to the email and this will be sorted out. ^MS",account,other,,3,5
197589,162488,197590,@AmazonHelp No email linked,"Customer: @AmazonHelp But i cannot login in my account it says that my account is blocked/locked
AmazonHelp: @162488 to your registered email account for further assistance. Appreciate your understanding. 2/2 ^MJ
Customer: @AmazonHelp No email linked",@162488 You may check the email correspondence sent to you here:https://t.co/DTSNmGldJf. Please check and revert. ^NK,account,information,,3,5
2762741,772883,2762742,@AmazonHelp no I wasn't,"Customer: @AmazonHelp yes I have , although the account was opened with my mobile phone number
AmazonHelp: @772883 Thanks for the information you've provided us! Were you asked to verify your information or fax us details to our Account Specialists? If so, have you done so? ^FR
Customer: @AmazonHelp no I wasn't","@772883 In that case, we need you to reach out to us for real time communication by phone. This link: https://t.co/jzvkhdlrK5 will not require you to sign in to your account, once you have selected any issue the page will provide a phone number you can use to contact us ^CH",account,information,explicit_human_request,3,5
4850,116849,4846,"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","Customer: @AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating
AmazonHelp: @116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD
Customer: @AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",account,phone_chat,explicit_human_request|failed_support|account_action,3,3
4849,116849,4851,"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw","Customer: @AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX
AmazonHelp: @116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT
Customer: @AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw",@116849 We want our team to investigate this further with you. Please reach out to us using the secure link: https://t.co/m1LX91jiEQ,account,investigation,explicit_human_request|failed_support|account_action,3,3
2012016,435167,2012018,@AmazonHelp No I haven't,"Customer: @115821 I can't log in to my affiliate account. I get a error message, since 12 hours ago.
AmazonHelp: @435167 I'm sorry for any inconvenience! Have you received any communication from our Amazon Associates team? ^DA
Customer: @AmazonHelp No I haven't","@435167 We'd like to get to the bottom of this, please get in touch with us here: https://t.co/mGJsWEkNEU ^DG",account,other,,3,5
197609,162488,197610,@AmazonHelp No email linked,"Customer: @AmazonHelp Check this out now also it is showing the same with proof https://t.co/AqFkOHNxE2
AmazonHelp: @162488 An email will be sent to your account from our account specialist team. Please reply (1/2)^HR
Customer: @AmazonHelp No email linked",@162488 Kindly check your spam or junk folder once. ^PS,account,other,,3,5
197615,162488,197616,@AmazonHelp Yes,"Customer: @AmazonHelp How to check that???? While i an not a spammer i think my account was spammed
AmazonHelp: @162488 need to skip the sign in process for a successful form submission. Appreciate your understanding. 2/2 ^MJ
Customer: @AmazonHelp Yes",@162488 Thank you for understanding. ^HR,account,acknowledgement,,3,5
2841850,740915,2841851,"@AmazonHelp what the hell... i already said, i am not able to login.. link you shared require login.. I displayed my info bcoz of no other way. amazon is not responding in mail or phone.. everyone everytime says sorry and asked to wait for another 24-48 hours.(its been 4month)","Customer: @AmazonHelp __email__ 7984718690 - account on hold from 4 months... connected to customer care 10 times, mailed to cis@amazon, called but no response at all. Worst side of amazon care. everyone ask to wait but no action
AmazonHelp: @740915 I apologize for the inconvenience. Account hold is followed by an email mentioning the reason. In case, you haven't received any such email; please share your details here: https://t.co/GIJyeYqKE0. We'll check and reach out to you with an update. ^VN (1/2)
Customer: @AmazonHelp what the hell... i already said, i am not able to login.. link you shared require login.. I displayed my info bcoz of no other way. amazon is not responding in mail or phone.. everyone everytime says sorry and asked to wait for another 24-48 hours.(its been 4month)","@740915 As the issue is related to your account closure, the account specialist team is the best which can help you out. Suggest you to reply to the email sent by our account specialist team. ^SG",account,other,explicit_human_request|missing_delivery|high_frustration,3,3
2462185,704887,2462183,@AmazonHelp got it shukriya,"Customer: @AmazonHelp I have already dropped it in Amazon account __email__ And inbox u my number so u can contact me Jay hind
AmazonHelp: @704887 We've sent a correspondence to your registered email address, request you to check the same. 1/2 ^SH
Customer: @AmazonHelp got it shukriya",@704887 It is always our pleasure! Do keep us posted for any further concern. ^AM,account,other,,3,5
