customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
93483,93485,136258,@AmazonHelp Thanks for replying. The order says Delivered 16 Nov 2017 Your parcel was delivered. But it never arrived. My order number is ORDER # 205-3068924-3695517.,"@136258 Thanks for confirming! We don't recommend sharing order/personal information, since Twitter is a public platform. You can reach us here via phone or chat and we'll explore options together: https://t.co/JzP7hlA23B Let us know if you need further help! ^KN","Customer: @115830 I need help with a package that never arrived! I can't find an option on customer service to ask for my refund. HELP!
AmazonHelp: @136258 I'm so sorry for the difficulty! We don't have access to account information over Twitter but would like to help. What does the tracking say where the order is here: https://t.co/aaDyEz1VgE ^MH
Customer: @AmazonHelp Thanks for replying. The order says Delivered 16 Nov 2017 Your parcel was delivered. But it never arrived. My order number is ORDER # 205-3068924-3695517.",3,Thu Nov 30 17:04:55 +0000 2017,Thu Nov 30 17:27:29 +0000 2017,delivery,9,1,8,never arrived; says delivered; delivered but; never arrived; says delivered; delivered but,acknowledgement,"['sorry', 'thanks for']",missing_delivery,True,2,['deictic_reference'],True,thanks for replying the order says delivered 16 nov 2017 your parcel was delivered but it never arrived my order number is order 205 3068924 3695517
172229,172227,156248,"@AmazonHelp hey, I ordered a kettle a while back and it never showed up. It says delivered, but looks buggy, and def never arrived. Order number #114-9706531-2161806",@156248 I'm sorry the kettle hasn't arrived! We aren't able to access Amazon Account information here on Twitter but we can help get you pointed in the right direction. Was the order shipped by Amazon directly or one of our sellers: https://t.co/Y5jpI9gRhE? ^EP,"Customer: @AmazonHelp hey, I ordered a kettle a while back and it never showed up. It says delivered, but looks buggy, and def never arrived. Order number #114-9706531-2161806",1,Fri Nov 24 22:38:02 +0000 2017,Fri Nov 24 22:42:00 +0000 2017,delivery,9,0,9,never arrived; says delivered; delivered but; never arrived; says delivered; delivered but,unknown,[],missing_delivery,True,2,['deictic_reference'],True,hey i ordered a kettle a while back and it never showed up it says delivered but looks buggy and def never arrived order number 9706531 2161806
239491,239489,172904,"@AmazonHelp yo, where is my package ? it says delivered but i never got my package..",@172904 Sorry for the wait! Let's try these steps here to locate it: https://t.co/8B5k6MasBQ ^DW,"Customer: @AmazonHelp yo, where is my package ? it says delivered but i never got my package..",1,Sat Nov 25 02:21:03 +0000 2017,Sat Nov 25 02:29:00 +0000 2017,delivery,9,0,9,where is my package; says delivered; delivered but; where is my package; says delivered; delivered but,unknown,[],missing_delivery,True,2,['deictic_reference'],True,yo where is my package it says delivered but i never got my package
627702,627700,268661,@AmazonHelp I have a parcel which says delivered but was not delivered to me. Could you help me track down where this was delivered please? @115821 @115830,"@268661 I am sorry this has not turned up yet, Emma. Was this marked as delivered today? ^SM",Customer: @AmazonHelp I have a parcel which says delivered but was not delivered to me. Could you help me track down where this was delivered please? @115821 @115830,1,Wed Nov 22 15:15:02 +0000 2017,Wed Nov 22 15:23:28 +0000 2017,delivery,9,0,9,not delivered; says delivered; delivered but; not delivered; says delivered; delivered but,unknown,[],missing_delivery,True,2,['deictic_reference'],True,i have a parcel which says delivered but was not delivered to me could you help me track down where this was delivered please
1050778,1050777,368318,@115821 my package says delivered but never got it. Where is my package !!!!,@368318 Thanks for reaching out to us. Here are some steps to try in situations like these: https://t.co/98Tpfm6ZUO ^GG,Customer: @115821 my package says delivered but never got it. Where is my package !!!!,1,Sat Oct 14 20:17:56 +0000 2017,Sat Oct 14 20:20:01 +0000 2017,delivery,9,0,9,where is my package; says delivered; delivered but; where is my package; says delivered; delivered but,unknown,[],missing_delivery,True,2,['deictic_reference'],True,my package says delivered but never got it where is my package
1506892,1506891,341535,hey so my package says delivered but it wasnt delivered to me so what can i do about that @115821 @118706,@341535 Oh! I'm very sorry you haven't received your order yet. Please try these steps to help locate it: https://t.co/4vtXXzZLAx ^BH,Customer: hey so my package says delivered but it wasnt delivered to me so what can i do about that @115821 @118706,1,Mon Oct 16 23:06:03 +0000 2017,Mon Oct 16 23:34:46 +0000 2017,delivery,9,3,6,wasnt delivered; says delivered; delivered but; wasnt delivered; says delivered; delivered but,unknown,[],missing_delivery,True,2,['deictic_reference'],True,hey so my package says delivered but it wasnt delivered to me so what can i do about that
2154113,2154111,632909,@AmazonHelp. Paid for a mattress on prime. Delivery delayed then turns up today with packaging ripped open and damaged. Driver took it away. Emailed cs as says delivered. CS say refund 2-3wks. didn't ask a refund but for replacement order now.Not acceptable.Pls contact to resolve,"@632909 Sorry for any inconvenience! Please, give us another chance to address this and explore all possible options here: https://t.co/JzP7hlA23B ^JE",Customer: @AmazonHelp. Paid for a mattress on prime. Delivery delayed then turns up today with packaging ripped open and damaged. Driver took it away. Emailed cs as says delivered. CS say refund 2-3wks. didn't ask a refund but for replacement order now.Not acceptable.Pls contact to resolve,1,Mon Nov 20 15:47:35 +0000 2017,Mon Nov 20 15:53:42 +0000 2017,delivery,9,6,3,says delivered; delivery delayed; delivery delay; says delivered; delivery delayed; delivery delay,refund_replacement,"['refund', 'replacement', 'replace']",missing_delivery,True,2,['deictic_reference'],True,paid for a mattress on prime delivery delayed then turns up today with packaging ripped open and damaged driver took it away emailed cs as says delivered cs say refund 2 3wks didn't ask a refund but for replacement order now not acceptable pls contact to resolve
796483,796484,309923,@AmazonHelp Yesterday I have reported for late delivery and now not delivered but status is delivered,@309923 Apologies for the ordeal Shenik. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN,"Customer: @AmazonHelp I just now got message saying item is delivered but item is not delivered ,#CustomerExperience F**********ed up. #AmazonIndia #Delivery
AmazonHelp: @309923 That's strange. Have you reported this to our team using the link shared earlier? ^VN
Customer: @AmazonHelp Yesterday I have reported for late delivery and now not delivered but status is delivered",3,Fri Oct 13 15:01:32 +0000 2017,Fri Oct 13 15:24:52 +0000 2017,delivery,9,0,9,not delivered; delivered but; late delivery; not delivered; delivered but; late delivery,unknown,[],missing_delivery,True,0,[],False,yesterday i have reported for late delivery and now not delivered but status is delivered
920885,920884,338599,"#poorservice @115850 Grievance: Package delivery delayed, despite coordinating with delivery guy for three days, package not delivered","@338599 I'm sorry for the delay in delivering your order, Pallav. Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll fix this for you.^MJ","Customer: #poorservice @115850 Grievance: Package delivery delayed, despite coordinating with delivery guy for three days, package not delivered",1,Sat Oct 21 05:03:57 +0000 2017,Sat Oct 21 05:26:54 +0000 2017,delivery,9,0,9,not delivered; delivery delayed; delivery delay; not delivered; delivery delayed; delivery delay,unknown,[],,False,0,[],False,grievance package delivery delayed despite coordinating with delivery guy for three days package not delivered
1293737,1293736,422543,@115850 product not delivered and tracking status showing..Delivery delayed on customer request..No request made for delay delivery,@422543 I'm sorry for any confusion. Please connect with our support team here: https://t.co/2t6DQoUmNZ for assistance on it. ^RW,Customer: @115850 product not delivered and tracking status showing..Delivery delayed on customer request..No request made for delay delivery,1,Mon Oct 16 08:40:28 +0000 2017,Mon Oct 16 09:03:55 +0000 2017,delivery,9,0,9,not delivered; delivery delayed; delivery delay; not delivered; delivery delayed; delivery delay,unknown,[],,False,0,[],False,product not delivered and tracking status showing delivery delayed on customer request no request made for delay delivery
