customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
1178046,397063,1178048,@AmazonHelp Yes,"Customer: @AmazonHelp I would think that that would be important information and that you should mislead your customers like that . Then I had to jump through
AmazonHelp: @397063 I'm so sorry for this poor experience! Have you received an e-mail confirming a refund? If so, can you tell us the date? ^HS
Customer: @AmazonHelp Yes",@397063 Thanks for letting us know you received the email confirming a refund is being processed. When did you receive the e-mail? ^NN,refund,acknowledgement,,3,5
2945450,813612,2945451,@AmazonHelp Yes,"Customer: @AmazonHelp I finally managed to get through and get a refund for my purchases. And they even gave me a code..but it doesnt work lol
AmazonHelp: @813612 I'm glad we were able to help! Without giving account specific details, was it a promotional credit that was given to you? ^HS
Customer: @AmazonHelp Yes","@813612 Just to clarify Nikko, did we provide you with a code you can enter or did we let you know we were applying a promotional credit to your Amazon account? ^NN",refund,information,,3,5
973607,350524,973608,@AmazonHelp OK,"Customer: @AmazonHelp Ur email datd 22nd Oct17 mentions dat Refund for Amazon.in order 407-3009023-2101957 for Amount Rs34,500 is successful bank but hv not recvd
AmazonHelp: @350524 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ
Customer: @AmazonHelp OK",@350524 Appreciate your cooperation. We will get back to you soon. ^BS,refund,other,,3,5
910783,255259,910782,@AmazonHelp Ok,"Customer: @AmazonHelp Check attached.none showed up to take return.evelryday fooling me sayin 'll come today but same fake __email__ https://t.co/soWG8GDC8J
AmazonHelp: @255259 Please don't provide your order details as we consider it personal info. Our twitter page is visible to public.(2/2) ^CB
Customer: @AmazonHelp Ok","@255259 When you share the details, Prashant, we'll review them and assist you accordingly. ^MS",refund,investigation,,3,5
877011,153246,877012,@AmazonHelp Yes,"Customer: @AmazonHelp Do you get money back from renting books through kindle?
AmazonHelp: @153246 Hi! Just to clarify; are you referring to textbooks rentals? ^WT
Customer: @AmazonHelp Yes","@153246 After your rental period, there are no refunds. The amount paid is the cost of the rental. ^JA",refund,refund_replacement,,3,5
888249,330905,888250,"@AmazonHelp No new information besides that there was no redelivery info ie we're not getting a replacement, and that she didn't have access to Prime Now orders (it was a Prime Now support callback!) so couldn't order a replacement. No assurances about the lost discount or anything.","Customer: @AmazonHelp Okay, now it looks like we aren't getting our items (refunded -- doesn't help when an item was £20 off for Black Friday and I've now missed out on that deal) and support couldn't help at all. Not amused any more. No acknowledgment yet that it was an hour late &amp; I had to stay in.
AmazonHelp: @330905 I'm very sorry to hear the item wasn't delivered, Jennifer! When you were speaking with support, what options or insight were they able to provide regarding the order? ^TH
Customer: @AmazonHelp No new information besides that there was no redelivery info ie we're not getting a replacement, and that she didn't have access to Prime Now orders (it was a Prime Now support callback!) so couldn't order a replacement. No assurances about the lost discount or anything.",@330905 I'd like to have a member of my team take a closer look to see what options are available for your order. Please provide your order details for us here: https://t.co/795Ofy98LK ^MB,refund,investigation,explicit_human_request|failed_support|missing_delivery,3,3
841754,320244,841755,@AmazonHelp yes i did,"Customer: @AmazonHelp u are of no help..till now sent 10 mails...same response..that u just cant return my money
AmazonHelp: @320244 Just to confirm, did you happen to share your details with us using the secure link we had shared. Do keep us posted. ^CB
Customer: @AmazonHelp yes i did",@320244 Thank you for sharing your details. We're working on this issue and will get in touch with you at the earliest. ^OS,refund,acknowledgement,,3,5
420284,215183,420286,@AmazonHelp No mail received.,"Customer: @115850 @115850 @AmazonHelp Even after 3 reminders no response, is company of high value, don’t make refunds.
AmazonHelp: @215183 Apologies. Kindly reply to our email correspondence with further query on this and we'll be happy to take it over from there ^AB
Customer: @AmazonHelp No mail received.",@215183 That's odd. Let me check this out for you. Please drop your details here: https://t.co/96R6EevXWL and we'll reach out to you.^VM,refund,other,,3,5
416701,214410,416703,@AmazonHelp No,"Customer: @AmazonHelp I want to cancel the order, please refund me the money. This is very poor from your side. Never keep your costumer on hold.
AmazonHelp: @214410 Did you place a new order as requested? ^HK
Customer: @AmazonHelp No","@214410 We'd like to take a closer look at this. Kindly fill in your details here: https://t.co/GIJyeYqKE0, I'll look into it. ^NR",refund,investigation,,3,5
1241779,411288,1241780,"@AmazonHelp i tried it, nothing happened.","Customer: @AmazonHelp I have already replaced the battery and yet nothing... I tried everything. At the moment I’m using my phone as the remote.
AmazonHelp: @411288 On the fire stick remote, hold the Home button for up to 10 seconds and then try the remote again. Let us know if this helps! ^DG
Customer: @AmazonHelp i tried it, nothing happened.","@411288 Do you have another Fire TV device in the house? If so, the remote may need to be reassigned. Please let us know! ^LB",refund,acknowledgement,explicit_human_request|failed_support,3,4
