customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current
2111176,2111178,622722,@AmazonHelp Question. When it comes to returning a product. How can I return it and do I have to pay anything? And how do I get my refund?,"@622722 Hi there! Great questions! Fortunately we got you covered. Just use this link, and the rest is a snap! https://t.co/lzGVCmRVx9 ^JD","Customer: @116090 hey. Purchased a product from your site. Arrived today. However it does not work. How can I get in contact with the person/s who sell it? Or can you contact them for me?
AmazonHelp: @622722 I'm so sorry the product doesn't work! You can reach out to the seller for help, here: https://t.co/jasScNioj2 ^WJ
Customer: @AmazonHelp Question. When it comes to returning a product. How can I return it and do I have to pay anything? And how do I get my refund?",3,Wed Nov 08 17:03:10 +0000 2017,Wed Nov 08 17:06:29 +0000 2017,information_general,12,3,9,how do i; how can i; can i; question; how do i; how can i; can i; question,refund_replacement,"['refund', 'return']",,False,2,['deictic_reference'],True,question when it comes to returning a product how can i return it and do i have to pay anything and how do i get my refund
139069,139070,147305,@AmazonHelp This is an unfair trade practice. Atleast tell me where can I read the policy and list of transactions prohibited through Amazon pay balance. There's nothing on @115850 website which confirms what you are saying,"@147305 I get your concern. I'll pass on your feedback internally, please refer to the link provided above for usage of Amazon pay balance. ^PS","Customer: @AmazonHelp Can you please guide where is it mentioned that what transactions are not allowed through Amazon pay balance? If I cannot use my own money in pay balance not you can credit it back to me, then what's the use of it?
AmazonHelp: @147305 As mentioned earlier, once you've added Amazon Pay Balance in your account it cannot be transferred back. For more information, you may refer to the link here: https://t.co/glsg7zNhXi. ^PS
Customer: @AmazonHelp This is an unfair trade practice. Atleast tell me where can I read the policy and list of transactions prohibited through Amazon pay balance. There's nothing on @115850 website which confirms what you are saying",3,Sat Nov 25 06:26:07 +0000 2017,Sat Nov 25 06:48:53 +0000 2017,information_general,10,1,9,can i; where can i; tell me; can i; where can i; information; tell me,information,['information'],,False,2,['deictic_reference'],True,this is an unfair trade practice atleast tell me where can i read the policy and list of transactions prohibited through amazon pay balance there's nothing on website which confirms what you are saying
294770,294772,186213,"@AmazonHelp It says 6 month warranty from brand or seller. So, my question is how can I knw whether products comes under brand or seller warranty?",@186213 It is a manufacturer warranty Sunil. ^HN,"Customer: @115850 can you pls tell me about Limited warranty on refurbished smartphones. As it's under seller or manufacturer warranty?
AmazonHelp: @186213 offered by the brand or product seller. For more info please check here: https://t.co/9Zz9Zx0But. ^NR 2/2
Customer: @AmazonHelp It says 6 month warranty from brand or seller. So, my question is how can I knw whether products comes under brand or seller warranty?",3,Fri Oct 06 18:00:02 +0000 2017,Fri Oct 06 18:10:00 +0000 2017,information_general,10,0,10,how can i; can i; question; how can i; can i; question; tell me,phone_chat,['phone'],,False,2,['deictic_reference'],True,it says 6 month warranty from brand or seller so my question is how can i knw whether products comes under brand or seller warranty
934403,934402,341650,"@AmazonHelp I saw it, Tell me how can I get back my extra money, bacause u sell me more than item M.R.P","@341650 That's unusual, Vinod. Request you to report this to our support team here: https://t.co/vlvfJr4nN9 and we will check this. ^NK","Customer: What is the difference between M.R.P and Price, specially in the context of books you sell on your site @115850
AmazonHelp: @341650 M.R.P is the maximum retail price a seller can sell the product at, which depends on the [1/2] ^HA
Customer: @AmazonHelp I saw it, Tell me how can I get back my extra money, bacause u sell me more than item M.R.P",3,Sat Oct 21 17:24:55 +0000 2017,Sat Oct 21 17:32:33 +0000 2017,information_general,10,1,9,how can i; can i; tell me; how can i; what is; can i; tell me,unknown,[],,False,2,['deictic_reference'],True,i saw it tell me how can i get back my extra money bacause u sell me more than item m r p
1578323,1578324,486089,"@AmazonHelp No, I'm not a fool. I have done this theree times.. I didn't get solution, how can I trust you that I will get solution??",@486089 Kindly share your details here: https://t.co/beaaDm0muc and we'll help. ^GK,"Customer: @AmazonHelp you are giving me hard time. I can give you harder.. I think you don't understand language of politeness.. This is the limit of my patience.. Don't test it please
AmazonHelp: @486089 Sorry for the inconvenience with the order. Please reach out to us from the link here: https://t.co/TxK11znixD and we will assist you at the earliest with the information you are seeking for. ^HR
Customer: @AmazonHelp No, I'm not a fool. I have done this theree times.. I didn't get solution, how can I trust you that I will get solution??",3,Wed Nov 15 08:23:22 +0000 2017,Wed Nov 15 08:36:33 +0000 2017,information_general,10,0,10,how can i; can i; is there; how can i; can i; is there; information,information,['information'],,False,2,['deictic_reference'],True,no i'm not a fool i have done this theree times i didn't get solution how can i trust you that i will get solution
2265531,2265630,219977,@AmazonHelp And what is my tweeter url which is asked by the form how can i got that url,@219977 Kindly paste this link: https://t.co/BOusWNorS3 in the section asking url to message. ^GD,"AmazonHelp: @219977 As this is a social media platform, we can't view your account/order details. Please click on the link &gt; sign in to your account, and share your details from the link provided earlier to assist further.^AR
Customer: @AmazonHelp Detail ask me last 4 digit of preference order issue on tweeter which i dont know ask for assistance which i don't provide information
Customer: @AmazonHelp And what is my tweeter url which is asked by the form how can i got that url",3,Sat Nov 11 17:13:02 +0000 2017,Sat Nov 11 17:25:53 +0000 2017,information_general,10,2,8,how can i; what is; can i; how can i; what is; can i; information,information,"['information', 'details']",,False,2,['deictic_reference'],True,and what is my tweeter url which is asked by the form how can i got that url
2981998,2981997,822463,@174957 @822464 @115850 Still Nokia 6 limited edition (arte black) is not available on Amazon...Can anyone tell me how can I avail this...,@822463 I understand your concern. We keep reviewing the stock and once it is available with the seller you may place the order. Please keep an eye on the product. ^BS,"Customer: @174957 when do you release #nokia6 in indian local market
Customer: @822464 The Nokia 6 is available already, check out @115850 for more information 🙂
Customer: @174957 @822464 @115850 Still Nokia 6 limited edition (arte black) is not available on Amazon...Can anyone tell me how can I avail this...",3,Mon Nov 20 04:10:38 +0000 2017,Mon Nov 20 04:26:23 +0000 2017,information_general,10,0,10,how can i; can i; tell me; how can i; can i; information; tell me,information,['information'],,False,2,['deictic_reference'],True,still nokia 6 limited edition arte black is not available on amazon can anyone tell me how can i avail this
914216,914217,336792,"@AmazonHelp Plz tell me how can I opt out of Amazon Prime, coz you guys take five days to make a normal delivery, wats the use of prime??",@336792 Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with this. ^SQ,"Customer: @115850 Product has reached destination city yesterday morning, still no intimation of delivery.. order id- 215173237447 Slot of delivery 21-23 oct
AmazonHelp: @336792 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public ^AR 2/2
Customer: @AmazonHelp Plz tell me how can I opt out of Amazon Prime, coz you guys take five days to make a normal delivery, wats the use of prime??",3,Sat Oct 21 23:59:36 +0000 2017,Sun Oct 22 00:11:31 +0000 2017,information_general,10,1,9,how can i; can i; tell me; how can i; can i; information; tell me,information,"['information', 'details']",,False,0,[],False,plz tell me how can i opt out of amazon prime coz you guys take five days to make a normal delivery wats the use of prime
1762297,1762298,530257,@AmazonHelp ok thanks. What is FR? Where can I find the link?,@530257 Sorry about that ^FR is the person who provided the link. Here is the link for you: https://t.co/rgMcpHBFE3 ^LS,"Customer: @AmazonHelp ty..how do i do that?
AmazonHelp: @530257 Sure thing! The link FR sent will walk you through the process. ^BL
Customer: @AmazonHelp ok thanks. What is FR? Where can I find the link?",3,Tue Nov 07 21:11:50 +0000 2017,Tue Nov 07 21:15:27 +0000 2017,information_general,10,0,10,what is; can i; where can i; how do i; what is; can i; where can i,unknown,[],,False,0,[],False,ok thanks what is fr where can i find the link
2786280,2786282,777901,@AmazonHelp nowhere can I find any information on who the carrier is...where are you looking?,@777901 The carrier is shown under the Order Details section. This is only displayed when the item ships. ^SJ,"Customer: @AmazonHelp you don't understand: I follow the ""YourOrders"" section of amazon religiously now...yes, today, I have two orders that are late. This is becoming a new (not good) trend!
AmazonHelp: @777901 Is there a specific carrier related to this trend of late orders? You can find out on that same ""Your Orders"" page. ^JZ
Customer: @AmazonHelp nowhere can I find any information on who the carrier is...where are you looking?",3,Tue Nov 21 18:52:44 +0000 2017,Tue Nov 21 18:58:35 +0000 2017,information_general,10,0,10,can i; where can i; information; can i; is there; where can i; information,information,['information'],,False,0,[],False,nowhere can i find any information on who the carrier is where are you looking
