customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score
1719114,350794,1719116,@AmazonHelp No,"Customer: @115850 made payment hain @6553 card by mistake entered @3021 card cvv no transaction accepted how?? #Amazon @131742 @118818
AmazonHelp: @350794 Have you reported this to our support team here: https://t.co/2t6DQoUmNZ? ^HR
Customer: @AmazonHelp No",@350794 Please reach out to us from the link shared above and we will assist you accordingly. ^HR,payment,other,,3,5
1140883,388551,1140885,@AmazonHelp ok thanks,"Customer: @AmazonHelp yes, the same as the first time it ask me for the information i already send. i have an italian card trying to pay in Mexico is it the prob?
AmazonHelp: @388551 Giulio, you will need to follow the instructions you received. It can take up to 48 business hours to receive a response. ^LG
Customer: @AmazonHelp ok thanks","@388551 You are welcome, Giulio. If you need any further assistance, please contact us again. ^LG",payment,acknowledgement,,3,5
1758639,529396,1758642,@AmazonHelp No comment?....,"Customer: And just like that @115821 resets my password, cancels my order and erases my credit card for no reason..... thanks.
AmazonHelp: @529396 We'd be glad to assist you with this, Jake! Without posting personal account information, tell us more about what happened. ^FR
Customer: @AmazonHelp No comment?....",@529396 your account is on Amazon.fr or https://t.co/nUUp5MLhYl? ^RA,payment,other,,3,5
2819210,125706,2819209,@AmazonHelp https://t.co/OE0BF5Fpzy did that,"Customer: @AmazonHelp UNAUTHORIZED CHARGE MADE BY AMAZON TODAY. SHAMEFUL
AmazonHelp: @125706 I'm sorry about the issue with the transaction. Have you reported this to our team here: https://t.co/vlvfJr4nN9 ? ^GK
Customer: @AmazonHelp https://t.co/OE0BF5Fpzy did that",@125706 I'm sorry about that. You can reach out to the https://t.co/nUUp5MLhYl team here: https://t.co/Y5jpI9gRhE ^KB,payment,information,,3,5
1986445,588022,1986446,@AmazonHelp Yes it does.,"Customer: @AmazonHelp Yes those are the steps. Whenever I click on the card, the financing or the 5% back option won't come up on checkout.
AmazonHelp: @588022 Does the item meet the terms and conditions listed here: https://t.co/GJORQkmOg9 ^ML
Customer: @AmazonHelp Yes it does.","@588022 Interesting! We'd like for you to reach out to the issuer of the card, Synchrony bank. You can reach them at 1-866-634-8379 ^HM",payment,information,,3,5
1604134,492219,1604136,@AmazonHelp No,"Customer: @115850 bought Samsung On 5 pro on 16/10/17 recharged vodafone rs 96 thrgh Amazon pay balance bt 10 GB data nt given as told @118343
AmazonHelp: @492219 I'm sorry for the discrepancy with the promotion, have you reported this to our support team here: https://t.co/GIJyeYqKE0? ^MJ
Customer: @AmazonHelp No","@492219 In this case, select the order &amp; drop your number here: https://t.co/vlvfJr4nN9 &amp; we'll check this for you. ^MJ",payment,other,,3,5
1718679,520360,1718678,@AmazonHelp Ok merci,"Customer: @AmazonHelp J ai tenté de contacter Colis Privé ... c est dommage d acheter sur Amazon avec une garantie de livraison le jour de la sortie ... et
AmazonHelp: @520360 Le mieux serait de le signaler à l'équipe en charge via ce lien https://t.co/hgIrz98cdI ^SN
Customer: @AmazonHelp Ok merci",@520360 A votre service,payment,other,,3,5
1660069,359076,1660070,@AmazonHelp That worked!!!,"Customer: @AmazonHelp Hello @AmazonHelp i got my order bt did not get any coupon or prime membership details, hw can i get this? prime membership nt yet activtd?
AmazonHelp: @359076 Have you reported it to our support team yet? If not, please do so using this link: https://t.co/vlvfJrlYEH for more help. ^RS
Customer: @AmazonHelp That worked!!!",@359076 Great! We're glad to know that. Please feel free to reach out to us for any further concerns. ^EM,payment,acknowledgement,,3,5
145894,140421,145895,@AmazonHelp Ok gracias,"Customer: @AmazonHelp 6358351__credit_card__ ese pedido aun no me ha llegado y tenia que estar ayer, hable con un agente y me programo la entrega para hoy entre las 10-13:30 y nada. Tratare el tema con la empresa de transportes
AmazonHelp: @140421 Te recordamos que al ser este un medio público por tu seguridad no es recomendable compartir datos de tu cuenta por lo que te recomendamos eliminar esta información. Por otro lado puedes encontrar los datos de contacto de transportistas aquí: https://t.co/0fIkCR86VR.^MZ
Customer: @AmazonHelp Ok gracias","@140421 Con todo gusto, por favor si con esto no se resuelve el inconveniente no dudes en ponernos al tanto, estamos para ayudarte. ^MZ",payment,other,explicit_human_request,3,5
2933577,174755,2933579,@AmazonHelp Yes,"Customer: Ok, this is weird. For my last 2 purchases on @115850 , I used my @116988 credit card. On both occasions, no OTP or #2FA done even when amount was &gt;2000. Isn't it against @2155 norms?
AmazonHelp: @174755 Could you please confirm if the credit card was issued in India? ^SC
Customer: @AmazonHelp Yes","@174755 I'm sorry for the unpleasant experience, please report this to our customer service team here: https://t.co/vlvfJr4nN9 and we'll be glad to help you. ^SI",payment,phone_chat,,3,5
1157241,392230,1157243,@AmazonHelp OK got it,"Customer: @115821 pls correct final payment amount thanks:) https://t.co/CtHEiPDMQr
AmazonHelp: @392230 After the promotion being applied, the shipping charges are removed which makes the final amount Rs. 685. 2/2^MS
Customer: @AmazonHelp OK got it","@392230 Sounds perfect, Deep. Do keep us posted in case of any further queries. ^KS",payment,other,,3,5
2969460,819081,2969459,@AmazonHelp No subscriptions,"Customer: @AmazonHelp Hello, Amazon has randomly taken £10.80 from my bank account, I haven't bought anything and I'm still on a premium trial?
AmazonHelp: @819081 I'm sorry for the unexpected charge, David. Have you checked to see if you have any active subscriptions? You can check here: https://t.co/P4CGkle0U5 ^FJ
Customer: @AmazonHelp No subscriptions",@819081 Thank you for the information. We'd like to speak with you about this matter and get to the bottom of it! Please reach out to us here: https://t.co/JzP7hlA23B. ^DG,payment,information,,3,5
320353,192334,320355,@AmazonHelp yes provided,"Customer: @AmazonHelp 1__credit_card__ Your customer support is horrible
AmazonHelp: @192334 details in the link provided earlier and we'll contact you. (2/2) ^GK
Customer: @AmazonHelp yes provided",@192334 Thanks for confirming. We'll reach out to you soon. ^SG,payment,acknowledgement,,3,5
2958529,816564,2958527,@amazonhelp no,"Customer: @amazonhelp so far you’ve tried to charge me $2600, 15 times in total
AmazonHelp: @816564 Have you received an e-mail from our Account Specialist regarding the hold currently on your account? ^AC
Customer: @amazonhelp no","@816564 When on the phone with us, what insight or options were provided? ^AR",payment,other,,3,5
2795378,780045,2795376,@AmazonHelp no ..,"Customer: @115830 on my bank account. I havent bought anything else so please can you advise.
AmazonHelp: @780045 I'm sorry for the unknown charge. Does it show you are a Prime member here https://t.co/EMoca4AE9A? If so, you can cancel the subscription with a refund from the same page. ^MH
Customer: @AmazonHelp no ..",@780045 We'd like to look into this unknown charge for you. Please reach out to us via phone or chat here: https://t.co/84tGza33lE ^BE,payment,investigation,,3,5
355616,200482,355617,@AmazonHelp Yes,"Customer: @AmazonHelp Since I was not provided the service for which I was charged help me with the refund of Rs.100
AmazonHelp: @200482 I understand that you are asking to refund the delivery charges of Rs. 100, I'm I correct? ^HA
Customer: @AmazonHelp Yes",@200482 Got it. Please get in touch with our support team here: https://t.co/vlvfJr4nN9 for further assistance. ^HA,payment,other,,3,5
